rank	openalex_id	year	doi	title	venue	type
1	W73531603	2004		Model Checking One Million Lines of C Code.		conference-paper
2	W150374354	1979	https://doi.org/10.1002/9781119202486	Art of Software Testing		article
3	W200765967	2005	https://doi.org/10.1007/11589976_3	Software Model Checking: Searching for Computations in the Abstract or the Concrete	Lecture notes in computer science	conference-paper
4	W335711039	2002		A Survey on Automatic Test Data Generation		article
5	W1550112417	2000		An empirical study of the robustness of Windows NT applications using random testing		article
6	W1845288303	2005	https://doi.org/10.1007/978-3-540-31980-1_24	Symstra: A Framework for Generating Object-Oriented Unit Tests Using Symbolic Execution	Lecture notes in computer science	conference-paper
7	W2002644257	2001	https://doi.org/10.1145/503502.503503	Model checking of hierarchical state machines	ACM Transactions on Programming Languages and Systems	article
8	W2009007001	1983	https://doi.org/10.1147/sj.223.0229	Automatic generation of random self-checking test cases	IBM Systems Journal	article
9	W2009489720	2005	https://doi.org/10.1145/1081706.1081750	CUTE		conference-paper
10	W2065675749	1997	https://doi.org/10.1145/263699.263717	Model checking for programming languages using VeriSoft		conference-paper
11	W2080573945	1995	https://doi.org/10.1145/199448.199462	Precise interprocedural dataflow analysis via graph reachability		conference-paper
12	W2084974764	2000	https://doi.org/10.1002/(sici)1097-024x(200006)30:7<775::aid-spe309>3.0.co;2-h	A static analyzer for finding dynamic programming errors	Software Practice and Experience	article
13	W2096449544	2005	https://doi.org/10.1145/1064978.1065036	DART	ACM SIGPLAN Notices	article
14	W2098115125	1996	https://doi.org/10.1145/226295.226317	A semantic model of program faults	ACM SIGSOFT Software Engineering Notes	article
15	W2101512909	1976	https://doi.org/10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	article
16	W2103714221	2002	https://doi.org/10.1145/512529.512538	ESP		conference-paper
17	W2104136059	2006	https://doi.org/10.1109/sp.2006.7	Automatically generating malicious disks using symbolic execution		conference-paper
18	W2106545804	2006	https://doi.org/10.1145/1176887.1176925	Software partitioning for effective automated unit testing		conference-abstract
19	W2106972913	2002	https://doi.org/10.1145/512529.512539	A system and language for building system-specific, static analyses		conference-paper
20	W2110052743	1998	https://doi.org/10.1145/288195.288305	Model checking of hierarchical state machines		conference-paper
21	W2117009500	2002	https://doi.org/10.1145/844128.844136	CMC	ACM SIGOPS Operating Systems Review	article
22	W2117058582	2005	https://doi.org/10.1007/11537328_2	Execution Generated Test Cases: How to Make Systems Code Crash Itself	Lecture notes in computer science	conference-paper
23	W2118915305	2000	https://doi.org/10.1109/ase.2000.873666	Generating test data for branch coverage		conference-paper
24	W2138721431	2002	https://doi.org/10.1109/icsm.1990.131379	A dynamic approach of test data generation		conference-paper
25	W2146641295	2005	https://doi.org/10.1145/1062455.1062533	Check 'n' crash		conference-abstract
26	W2151670874	2005	https://doi.org/10.1145/1075382.1075387	Analysis of recursive state machines	ACM Transactions on Programming Languages and Systems	article
27	W2161488870	2004		Generating Tests from Counterexamples		article
28	W2162120832	2002	https://doi.org/10.1145/566171.566191	Korat	ACM SIGSOFT Software Engineering Notes	article
29	W2171480813	2003	https://doi.org/10.1023/a:1022920129859	Model Checking Programs	Automated Software Engineering	article
30	W2171683519	2004	https://doi.org/10.1145/1007512.1007526	Test input generation with java PathFinder		conference-paper
31	W4237492309	2005	https://doi.org/10.1145/1065010.1065036	DART		conference-paper
32	W4253606798	2002	https://doi.org/10.1145/566172.566191	Korat		conference-paper
