key	status	code	year	title	cluster	priority	relevance	url
doi:10.1145/360248.360252	screened		1976	Symbolic execution and program testing	symbolic-execution	high	Foundational symbolic execution of programs with symbolic inputs path conditions and testing/debugging applications	""
doi:10.1007/978-3-031-47963-2_22	excluded	E7-duplicate-version	2023	Denotational Semantics for Symbolic Execution	semantics	medium	Conference precursor retained for lineage; current claims use the expanded 2025 journal treatment	
doi:10.1007/978-3-540-31987-0_2	screened		2005	Trace Partitioning in Abstract Interpretation	abstract-interpretation	high	Established trace-partitioning terminology and semantics	
doi:10.1145/2568225.2568293	candidate		2014	Enhancing symbolic execution with veritesting	multipath	high	Static symbolic execution and path merging	
doi:10.1145/2786805.2786830	deep-read		2015	MultiSE: Multi-Path Symbolic Execution Using Value Summaries	multipath	critical	Guarded value summaries and exact multipath states	
doi:10.1609/aaai.v38i8.28652	deep-read		2024	Disjoint Partial Enumeration without Blocking Clauses	model-enumeration	critical	Disjoint partial-model enumeration	
doi:10.1007/bf01383966	candidate		1995	Formal verification by symbolic evaluation of partially-ordered trajectories	hardware	high	Symbolic evaluation of partially ordered hardware trajectories	
doi:10.1016/j.entcs.2004.12.010	candidate		2005	Test Selection Strategies for Lustre Descriptions in GATeL	dataflow-testing	high	Constraint-based test selection for Lustre	
doi:10.1109/ase.2013.6693083	screened		2013	SEDGE: Symbolic example data generation for dataflow programs	dataflow-testing	high	Concolic SMT generation of example data for high-level dataflow-operator coverage rather than exact observer-fiber records	""
doi:10.34727/2023/isbn.978-3-85448-060-0_19	deep-read		2023	Sylvia and piecewise RTL composition	hardware	critical	Piecewise composition for RTL symbolic execution	
doi:10.1016/j.jsc.2016.07.012	screened		2017	A Generic Framework for Symbolic Execution: A Coinductive Approach	semantics	high	Language-independent coinductive symbolic-execution framework	
doi:10.1145/2254064.2254088	candidate		2012	Efficient state merging in symbolic execution	multipath	high	State-merging tradeoffs and query-cost estimation	
doi:10.1145/2465106.2465121	candidate		2013	Faceted execution of policy-agnostic programs	conditional-values	high	Guarded faceted values and projection theorem	
doi:10.1145/3276487	screened		2018	Faster Variational Execution with Transparent Bytecode Transformation	conditional-values	high	Conditional values and disjoint configuration contexts	
arxiv:1807.03837	candidate		2018	Understanding Differences among Executions with Variational Traces	conditional-values	high	Variational traces concisely represent control-flow and data-flow differences across configurations	
doi:10.1109/ares.2015.14	deep-read		2015	All-Solution Satisfiability Modulo Theories	model-enumeration	critical	AllSMT over important Boolean and theory variables with witnesses	
doi:10.1016/j.artint.2025.104346	deep-read		2025	Disjoint Projected Enumeration for SAT and SMT	model-enumeration	critical	Disjoint projected SAT and SMT enumeration	
doi:10.1109/tc.1986.1676819	deep-read		1986	Graph-Based Algorithms for Boolean Function Manipulation	decision-diagrams	high	Canonical reduced Boolean functions and shared subgraphs	
doi:10.1145/2063239.2063245	candidate		2011	The Choice Calculus	conditional-values	high	Choice calculus semantics and decision-based variant selection	
doi:10.1145/158511.158707	candidate		1993	Tutorial notes on partial evaluation	residualization	medium	Established partial-evaluation and residual-program terminology	
doi:10.1145/3341694	deep-read		2019	Selective Applicative Functors	selective-computation	critical	Compositional interface and free construction for statically visible dynamically selected effects	
doi:10.1145/123186.128296	candidate		1990	Symbolic simulation---techniques and applications	hardware	high	Foundational symbolic simulation of circuits	
doi:10.1145/378239.378278	deep-read		2001	Symbolic RTL Simulation	hardware	critical	Symbolic RTL controls, event accumulation, and contextual error replay	
doi:10.1007/978-3-642-02658-4_33	deep-read		2009	Generating and Analyzing Symbolic Traces	model-based	critical	Discrete-trace equivalence for conditional dataflow models	
doi:10.1109/date.2004.1268825	deep-read		2004	Improved Symbolic Simulation by Dynamic Functional Space Partitioning	hardware	critical	Mux-guided functional-space partitioning in symbolic simulation	
doi:10.1145/1109118.1109122	screened		2005	Using 2-domain partitioned OBDD data structure in an enhanced symbolic simulator	hardware	high	Journal extension of two-domain partitioned OBDD symbolic simulation	
doi:10.1109/iccad.1996.569909	deep-read		1996	Partitioned ROBDDs	decision-diagrams	critical	Canonical partitioned ROBDDs and exponential compactness	
doi:10.1017/s1471068411000263	deep-read		2011	On the Correctness of Pull-Tabbing	term-graphs	critical	Shared choice identifiers and strategy-independent exhaustive term-graph evaluation	
doi:10.3233/faia241007	deep-read		2024	Canonical Decision Diagrams Modulo Theories	decision-diagrams	critical	Canonical theory decision diagrams built from AllSMT and Boolean DDs	
doi:10.1145/3408984	screened		2020	Higher-Order Demand-Driven Symbolic Evaluation	demand-driven	high	Context-sensitive reverse symbolic evaluation for higher-order programs	
doi:10.1145/1190215.1190226	deep-read		2007	Compositional Dynamic Test Generation	compositional-symbolic-execution	critical	Reusable precondition and postcondition summaries from separate component analyses	
