rank	source_id	year	doi	title	venue	type
1	10.1145/2737924.2737971	2015	10.1145/2737924.2737971	Relatively Complete Counterexamples For Higher-Order Programs	Proceedings Of The 36Th ACM SIGPLAN Conference On Programming Language Design And Implementation	proceedings article
2	10.1145/3022670.2951919	2016	10.1145/3022670.2951919	Automatically Disproving Fair Termination Of Higher-Order Functional Programs	ACM SIGPLAN Notices [issn:0362-1340 issn:1558-1160 openalex:S148324379 omid:br/061301362]	journal article
3	10.1145/2784731.2784766	2015	10.1145/2784731.2784766	Learning Refinement Types	Proceedings Of The 20Th ACM SIGPLAN International Conference On Functional Programming	proceedings article
4	10.4230/lipics.fscd.2020.27	2020	10.4230/lipics.fscd.2020.27	Symbolic Execution Game Semantics	LIPIcs : Leibniz International Proceedings In Informatics [issn:1868-8969 openalex:S4393917817 omid:br/060182]	report
5	10.1145/3276531	2018	10.1145/3276531	Test Generation For Higher-Order Functions In Dynamic Languages	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
6	10.1007/978-3-319-73305-0_7	2017	10.1007/978-3-319-73305-0_7	Exploiting Term Hiding To Reduce Run-Time Checking Overhead	Practical Aspects Of Declarative Languages [doi:10.1007/978-3-319-73305-0 isbn:9783319733043 isbn:9783319733050 openalex:W2778830456 omid:br/0611064577]	book chapter
7	10.1145/3093333.3009874	2017	10.1145/3093333.3009874	Contract-based Resource Verification For Higher-Order Functions With Memoization	ACM SIGPLAN Notices [issn:0362-1340 issn:1558-1160 openalex:S148324379 omid:br/061301362]	journal article
8	10.1007/978-3-030-35540-1_1	2019	10.1007/978-3-030-35540-1_1	A Bounded Model Checking Technique For Higher-Order Programs	Dependable Software Engineering. Theories, Tools, And Applications [isbn:9783030355395 isbn:9783030355401 omid:br/06702393778]	book chapter
9	10.1145/3022670.2951930	2016	10.1145/3022670.2951930	Oh Lord, Please Don'T Let Contracts Be Misunderstood (Functional Pearl)	ACM SIGPLAN Notices [issn:0362-1340 issn:1558-1160 openalex:S148324379 omid:br/061301362]	journal article
10	10.1017/s0956796816000216	2016	10.1017/s0956796816000216	Higher Order Symbolic Execution For Contract Verification And Refutation	Journal Of Functional Programming [issn:0956-7968 issn:1469-7653 openalex:S12266929 omid:br/061902667223]	journal article
11	10.1145/2951913.2951930	2016	10.1145/2951913.2951930	Oh Lord, Please Don'T Let Contracts Be Misunderstood (Functional Pearl)	Proceedings Of The 21St ACM SIGPLAN International Conference On Functional Programming	proceedings article
12	10.1145/2858949.2784766	2015	10.1145/2858949.2784766	Learning Refinement Types	ACM SIGPLAN Notices [issn:0362-1340 issn:1558-1160 openalex:S148324379 omid:br/061301362]	journal article
13	10.1145/3110256	2017	10.1145/3110256	Abstracting Definitional Interpreters (Functional Pearl)	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
14	10.1145/3360614	2019	10.1145/3360614	Automatic And Scalable Detection Of Logical Errors In Functional Programming Assignments	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
15	10.1007/978-3-031-91121-7_2	2025	10.1007/978-3-031-91121-7_2	CUTECat: Concolic Execution For Computational Law	Lecture Notes In Computer Science [isbn:9783031911200 isbn:9783031911217 omid:br/0609385724]	book chapter
16	10.1145/2813885.2737971	2015	10.1145/2813885.2737971	Relatively Complete Counterexamples For Higher-Order Programs	ACM SIGPLAN Notices [issn:0362-1340 issn:1558-1160 openalex:S148324379 omid:br/061301362]	journal article
17	10.1145/3434334	2021	10.1145/3434334	Corpse Reviver: Sound And Efficient Gradual Typing Via Contract Verification	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
18	10.1007/978-3-662-54434-1_31	2017	10.1007/978-3-662-54434-1_31	Modular Verification Of Higher-Order Functional Programs	Programming Languages And Systems [doi:10.1007/978-3-662-54434-1 isbn:9783662544334 isbn:9783662544341 openalex:W2192871021 omid:br/0611064879]	book chapter
19	10.1145/3276502	2018	10.1145/3276502	Gradual Liquid Type Inference	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
20	10.1017/s1471068418000042	2018	10.1017/s1471068418000042	Interval-based Resource Usage Verification By Translation Into Horn Clauses And An Application To Energy Consumption	Theory And Practice Of Logic Programming [issn:1471-0684 issn:1475-3081 openalex:S59670734 omid:br/061701471855]	journal article
21	10.1145/2908080.2908125	2016	10.1145/2908080.2908125	Automatically Learning Shape Specifications	Proceedings Of The 37Th ACM SIGPLAN Conference On Programming Language Design And Implementation	proceedings article
22	10.1145/2951913.2951919	2016	10.1145/2951913.2951919	Automatically Disproving Fair Termination Of Higher-Order Functional Programs	Proceedings Of The 21St ACM SIGPLAN International Conference On Functional Programming	proceedings article
23	10.1145/3689788	2024	10.1145/3689788	Semantic-Type-Guided Bug Finding	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
24	10.1145/3328433.3328453	2019	10.1145/3328433.3328453	Idve	Proceedings Of The Conference Companion Of The 3Rd International Conference On Art, Science, And Engineering Of Programming	proceedings article
25	10.1145/2980983.2908125	2016	10.1145/2980983.2908125	Automatically Learning Shape Specifications	ACM SIGPLAN Notices [issn:0362-1340 issn:1558-1160 openalex:S148324379 omid:br/061301362]	journal article
26	10.1145/3009837.3009874	2017	10.1145/3009837.3009874	Contract-based Resource Verification For Higher-Order Functions With Memoization	Proceedings Of The 44Th ACM SIGPLAN Symposium On Principles Of Programming Languages	proceedings article
27	10.1145/3158139	2018	10.1145/3158139	Soft Contract Verification For Higher-Order Stateful Programs	Proceedings Of The ACM On Programming Languages [issn:2475-1421 openalex:S4210216081 omid:br/06202297641]	journal article
