rank	openalex_id	year	doi	title	venue	type	abstract
1	W1992774725	1991	https://doi.org/10.1103/physrevlett.66.2396	Eigenvalues of covariance matrices: Application to neural-network learning	Physical Review Letters	article	The learing time of a simple neural-network model is obtained through an analytic computation of the eigenvalue spectrum for the Hessian matrix, which describes the second-order properties of the objective function in the space of coupling coefficients. The results are generic for symmetric matrices obtained by summing outer products of random vectors. The form of the eigenvalue distribution suggests new techniques for accelerating the learning process, and provides a theoretical justification for the choice of centered versus biased state variables.
2	W2030996579	1996	https://doi.org/10.1016/0166-218x(95)00026-n	Reverse search for enumeration	Discrete Applied Mathematics	article	
3	W2127265926	2014	https://doi.org/10.48550/arxiv.1412.6614	In Search of the Real Inductive Bias: On the Role of Implicit Regularization in Deep Learning	arXiv (Cornell University)	preprint	We present experiments demonstrating that some other form of capacity control, different from network size, plays a central role in learning multilayer feed-forward networks. We argue, partially through analogy to matrix factorization, that this is an inductive bias that can help shed light on deep learning.
4	W2608666998	2007	https://doi.org/10.1090/pcms/013/08	An introduction to hyperplane arrangements	IAS/Park City mathematics series	book-chapter	
5	W2809090039	2018	https://doi.org/10.48550/arxiv.1806.07572	Neural Tangent Kernel: Convergence and Generalization in Neural Networks	arXiv (Cornell University)	preprint	At initialization, artificial neural networks (ANNs) are equivalent to Gaussian processes in the infinite-width limit, thus connecting them to kernel methods. We prove that the evolution of an ANN during training can also be described by a kernel: during gradient descent on the parameters of an ANN, the network function $f_θ$ (which maps input vectors to output vectors) follows the kernel gradient of the functional cost (which is convex, in contrast to the parameter cost) w.r.t. a new kernel: the Neural Tangent Kernel (NTK). This kernel is central to describe the generalization features of ANNs. While the NTK is random at initialization and varies during training, in the infinite-width limit it converges to an explicit limiting kernel and it stays constant during training. This makes it possible to study the training of ANNs in function space instead of parameter space. Convergence of the training can then be related to the positive-definiteness of the limiting NTK. We prove the positive-definiteness of the limiting NTK when the data is supported on the sphere and the non-linearity is non-polynomial. We then focus on the setting of least-squares regression and show that in the infinite-width limit, the network function $f_θ$ follows a linear differential equation during training. The convergence is fastest along the largest kernel principal components of the input data with respect to the NTK, hence suggesting a theoretical motivation for early stopping. Finally we study the NTK numerically, observe its behavior for wide networks, and compare it to the infinite-width limit.
6	W2919115771	2015	https://doi.org/10.1038/nature14539	Deep learning	Nature	article	
7	W2951603627	2014		On the Number of Linear Regions of Deep Neural Networks	arXiv (Cornell University)	preprint	We study the complexity of functions computable by deep feedforward neural networks with piecewise linear activations in terms of the symmetries and the number of linear regions that they have. Deep networks are able to sequentially map portions of each layer's input-space to the same output. In this way, deep models compute functions that react equally to complicated patterns of different inputs. The compositional structure of these functions enables them to re-use pieces of computation exponentially often in terms of the network's depth. This paper investigates the complexity of such compositional maps and contributes new theoretical results regarding the advantage of depth for neural networks with piecewise linear activation functions. In particular, our analysis is not specific to a single family of models, and as an example, we employ it for rectifier and maxout networks. We improve complexity bounds from pre-existing work and investigate the behavior of units in higher layers.
8	W2962766031	2018	https://doi.org/10.48550/arxiv.1810.09274	From Hard to Soft: Understanding Deep Network Nonlinearities via Vector\n Quantization and Statistical Inference	arXiv (Cornell University)	preprint	"Nonlinearity is crucial to the performance of a deep (neural) network (DN).\nTo date there has been little progress understanding the menagerie of available\nnonlinearities, but recently progress has been made on understanding the r\\^ole\nplayed by piecewise affine and convex nonlinearities like the ReLU and absolute\nvalue activation functions and max-pooling. In particular, DN layers\nconstructed from these operations can be interpreted as {\\em max-affine spline\noperators} (MASOs) that have an elegant link to vector quantization (VQ) and\n$K$-means. While this is good theoretical progress, the entire MASO approach is\npredicated on the requirement that the nonlinearities be piecewise affine and\nconvex, which precludes important activation functions like the sigmoid,\nhyperbolic tangent, and softmax. {\\em This paper extends the MASO framework to\nthese and an infinitely large class of new nonlinearities by linking\ndeterministic MASOs with probabilistic Gaussian Mixture Models (GMMs).} We show\nthat, under a GMM, piecewise affine, convex nonlinearities like ReLU, absolute\nvalue, and max-pooling can be interpreted as solutions to certain natural\n""hard"" VQ inference problems, while sigmoid, hyperbolic tangent, and softmax\ncan be interpreted as solutions to corresponding ""soft"" VQ inference problems.\nWe further extend the framework by hybridizing the hard and soft VQ\noptimizations to create a $\\beta$-VQ inference that interpolates between hard,\nsoft, and linear VQ inference. A prime example of a $\\beta$-VQ DN nonlinearity\nis the {\\em swish} nonlinearity, which offers state-of-the-art performance in a\nrange of computer vision tasks but was developed ad hoc by experimentation.\nFinally, we validate with experiments an important assertion of our theory,\nnamely that DN performance can be significantly improved by enforcing\northogonality in its linear filters.\n"
9	W3104183572	2020		Analytical Probability Distributions and Exact Expectation-Maximization for Deep Generative Networks	Neural Information Processing Systems	article	
10	W3132101459	2021	https://doi.org/10.48550/arxiv.2102.11535	Neural Architecture Search on ImageNet in Four GPU Hours: A\n Theoretically Inspired Perspective	arXiv (Cornell University)	preprint	Neural Architecture Search (NAS) has been explosively studied to automate the\ndiscovery of top-performer neural networks. Current works require heavy\ntraining of supernet or intensive architecture evaluations, thus suffering from\nheavy resource consumption and often incurring search bias due to truncated\ntraining or approximations. Can we select the best neural architectures without\ninvolving any training and eliminate a drastic portion of the search cost? We\nprovide an affirmative answer, by proposing a novel framework called\ntraining-free neural architecture search (TE-NAS). TE-NAS ranks architectures\nby analyzing the spectrum of the neural tangent kernel (NTK) and the number of\nlinear regions in the input space. Both are motivated by recent theory advances\nin deep networks and can be computed without any training and any label. We\nshow that: (1) these two measurements imply the trainability and expressivity\nof a neural network; (2) they strongly correlate with the network's test\naccuracy. Further on, we design a pruning-based NAS mechanism to achieve a more\nflexible and superior trade-off between the trainability and expressivity\nduring the search. In NAS-Bench-201 and DARTS search spaces, TE-NAS completes\nhigh-quality search but only costs 0.5 and 4 GPU hours with one 1080Ti on\nCIFAR-10 and ImageNet, respectively. We hope our work inspires more attempts in\nbridging the theoretical findings of deep networks and practical impacts in\nreal NAS applications. Code is available at:\nhttps://github.com/VITA-Group/TENAS.\n
