rank	source_id	year	doi	title	venue	type
1	10.26226/morressier.604907f41a80aac83ca25d24	2021	10.26226/morressier.604907f41a80aac83ca25d24	Sound and Complete Concolic Testing for Higher-Order Functions		posted-content
2	10.1109/iscas45731.2020.9180934/video	None	10.1109/iscas45731.2020.9180934/video	Video for Generalized Linear Canonical Transform with Higher Order Phase		component
3	10.2139/ssrn.4627470	2023	10.2139/ssrn.4627470	Transthalamic Input to Higher-Order Cortex Selectively Conveys State Information		posted-content
4	10.1016/j.crma.2007.07.027	2007	10.1016/j.crma.2007.07.027	Canonical semisprays for higher order Lagrange spaces	Comptes Rendus. Mathématique	journal-article
5	10.5626/jok.2021.48.2.201	2021	10.5626/jok.2021.48.2.201	Bounded Search Strategies of Concolic Testing for Effective and Efficient Structural Coverage Achievement	Journal of KIISE	journal-article
6	10.2139/ssrn.5223444	2025	10.2139/ssrn.5223444	An Efficient Method to Calculate Complete Sets in Higher-Order Argumentation Frameworks		posted-content
7	10.1079/searchrxiv.2026.01368	2026	10.1079/searchrxiv.2026.01368	Teaching and Learning AI-mediated Information Problem Solving in Higher Education (Academic Search Complete).		posted-content
8	10.1101/2023.10.08.561424	2023	10.1101/2023.10.08.561424	Transthalamic input to higher-order cortex selectively conveys state information		posted-content
9	10.1002/rnc.3012	2014	10.1002/rnc.3012	On higher-order truncated predictor feedback for linear systems with input delay	International Journal of Robust and Nonlinear Control	journal-article
10	10.2514/6.2020-0809	2020	10.2514/6.2020-0809	Complete-search Tensor Contractions for Optimizing High-order Methods	AIAA Scitech 2020 Forum	proceedings-article
11	10.1142/9789813220362_0106	2017	10.1142/9789813220362_0106	Blind Source Separation Using Canonical Decomposition of Higher Order Tensor	Electrical Engineering and Automation	proceedings-article
12	10.1016/s1474-6670(17)65448-x	1979	10.1016/s1474-6670(17)65448-x	Complete Sets of Invariants and Canonical Input-Output Forms for Multivariable Systems Structural and Parametric Identification	IFAC Proceedings Volumes	journal-article
13	10.1007/978-3-030-72019-3_23	2021	10.1007/978-3-030-72019-3_23	Sound and Complete Concolic Testing for Higher-order Functions	Lecture Notes in Computer Science	book-chapter
14	10.1109/host.1993.264607	None	10.1109/host.1993.264607	Identification of linear systems with noisy input using fourth-order cumulants	[1993 Proceedings] IEEE Signal Processing Workshop on Higher-Order Statistics	proceedings-article
15	10.1007/bfb0105418	1996	10.1007/bfb0105418	Higher-order annotated terms for proof search	Lecture Notes in Computer Science	book-chapter
16	10.3390/universe9010048	2023	10.3390/universe9010048	Perusing Buchbinder–Lyakhovich Canonical Formalism for Higher-Order Theories of Gravity	Universe	journal-article
17	10.1364/cleo_si.2015.stu4l.2	2015	10.1364/cleo_si.2015.stu4l.2	Input and Output Coupling in Higher Order Mode Fibers	CLEO: 2015	proceedings-article
18	10.1088/0305-4470/11/1/008	1978	10.1088/0305-4470/11/1/008	On canonical formalism in field theory with derivatives of higher order-canonical transformations	Journal of Physics A: Mathematical and General	journal-article
19	10.1109/apsec60848.2023.00050	2023	10.1109/apsec60848.2023.00050	Parameterized Search Heuristic Prediction for Concolic Execution	2023 30th Asia-Pacific Software Engineering Conference (APSEC)	proceedings-article
20	10.1063/1.348768	1991	10.1063/1.348768	Canonical aberration theory for calculating higher-order chromatic aberrations	Journal of Applied Physics	journal-article
