date	kind	id	source	query_or_seed	direction	hits	screened	included_keys	excluded_keys	notes
2026-08-08	search	oa1	openalex	"large language model ""systematic review"""		50				
2026-08-08	search	oa2	openalex	"large language model ""literature review"""		50				
2026-08-08	search	oa3	openalex	"language model ""evidence synthesis"""		50				
2026-08-08	search	oa4	openalex	"citation screening ""language model"""		21				
2026-08-08	search	oa5	openalex	"data extraction ""large language model"" review"		50				
2026-08-08	search	s21	semanticscholar	large language model systematic review automation		50				
2026-08-08	search	s22	semanticscholar	LLM literature review screening agent		FAILED:HTTP Error 429: 				
2026-08-08	search	s23	semanticscholar	evidence synthesis language model reliability		FAILED:HTTP Error 429: 				
2026-08-08	search	cr1	crossref	large language model systematic review automation		50				
2026-08-08	search	ax1	arxiv	"all:""systematic review"" AND all:""large language model"""		50				
2026-08-08	search	ax2	arxiv	"all:""literature review"" AND all:""language model"" AND all:agent"		50				
2026-08-08	search	s22	semanticscholar	LLM literature review screening agent		50				
2026-08-08	search	s23	semanticscholar	evidence synthesis language model reliability		FAILED:persistent-429				
2026-08-09	audit	unified-ledger-migration	record							included.tsv and excluded.tsv merged into catalog.tsv (statuses included/excluded/parked; U rows became parked); searches.tsv became log.tsv with a kind column; marginals preserved: 646 included, 634 excluded, 12 parked, 1292 keys
