rank	openalex_id	year	doi	title	venue	type
1	W1963739845	2014	https://doi.org/10.1145/2642937.2642951	Targeted test input generation using symbolic-concrete backward execution		conference-paper
2	W1979345446	2013	https://doi.org/10.1016/j.jss.2013.02.061	An orchestrated survey of methodologies for automated software test case generation	Journal of Systems and Software	article
3	W2008880956	2013	https://doi.org/10.1145/2491956.2491978	Verifying higher-order programs with the dijkstra monad		conference-paper
4	W2080661536	2013	https://doi.org/10.1145/2491956.2462186	Thresher		conference-paper
5	W2119717320	2011	https://doi.org/10.1145/1988042.1988046	QuickCheck	ACM SIGPLAN Notices	article
6	W2153036969	2012	https://doi.org/10.1145/2384616.2384655	Higher-order symbolic execution via contracts		conference-paper
7	W2159595840	2010		The SMT-LIB Standard Version 2.0		article
8	W2163671349	2013	https://doi.org/10.1145/2509578.2509586	Growing solver-aided languages with rosette		conference-paper
9	W2494909361	2016	https://doi.org/10.1007/978-3-319-43144-4_3	Infeasible Paths Elimination by Symbolic Execution Techniques	Lecture notes in computer science	conference-paper
10	W2559098921	2016	https://doi.org/10.4230/lipics.ecoop.2016.19	Higher-Order Demand-Driven Program Analysis	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
11	W3047503662	2020	https://doi.org/10.1145/3408984	Higher-order demand-driven symbolic evaluation	Proceedings of the ACM on Programming Languages	article
12	W3207402727	2019	https://doi.org/10.1145/3371078	Incorrectness logic	Proceedings of the ACM on Programming Languages	article
13	W4287750213	2020	https://doi.org/10.5281/zenodo.3923023	Higher-Order Demand-Driven Symbolic Evaluation	Zenodo (CERN European Organization for Nuclear Research)	conference-paper
