rank	source_id	year	doi	title	venue	type
1	citation-1	2021		On the Explanatory Power of Decision Trees	CoRR	preprint
2	10.1109/TC.1986.1676819	1986	10.1109/TC.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	article
3	10.1016/0012-365X(78)90168-1	1978	10.1016/0012-365X(78)90168-1	On the Number of Prime Implicants	Discrete Mathematics	article
4	10.3233/FAIA200129	2020	10.3233/FAIA200129	On the Reasons Behind Decisions	ECAI 2020	proceedings-article
5	citation-5	2002		A Knowledge Compilation Map	Journal of Artificial Intelligence Research	article
6	10.1613/jair.1.12031	2021	10.1613/jair.1.12031	On Quantifying Literals in Boolean Logic and Its Applications to Explainable AI	Journal of Artificial Intelligence Research	article
7	10.1145/502090.502091	2001	10.1145/502090.502091	Decomposable Negation Normal Form	Journal of the ACM	article
8	10.1016/0004-3702(86)90080-9	1986	10.1016/0004-3702(86)90080-9	An Assumption-Based TMS	Artificial Intelligence	article
9	citation-9	1959		The Problem of Simplifying Logical Expressions	Journal of Symbolic Logic	article
10	10.1145/200836.200838	1995	10.1145/200836.200838	The Complexity of Logic-Based Abduction	Journal of the ACM	article
11	10.1016/j.dam.2007.04.008	2008	10.1016/j.dam.2007.04.008	Computational Aspects of Monotone Dualization: A Brief Survey	Discrete Applied Mathematics	article
12	10.1109/12.324566	1994	10.1109/12.324566	Efficient Analysis and Manipulation of OBDDs Can Be Extended to FBDDs	IEEE Transactions on Computers	article
13	10.1016/S0166-218X(99)00099-7	1999	10.1016/S0166-218X(99)00099-7	On Generating the Irredundant Conjunctive and Disjunctive Normal Forms of Monotone Boolean Functions	Discrete Applied Mathematics	article
14	10.1609/aaai.v33i01.33011511	2019	10.1609/aaai.v33i01.33011511	Abduction-Based Explanations for Machine Learning Models	AAAI 2019	proceedings-article
15	citation-15	2020		On Relating 'Why?' and 'Why Not?' Explanations	CoRR	preprint
16	citation-16	2013		Knowledge Compilation for Model Counting: Affine Decision Trees	IJCAI 2013	proceedings-article
17	citation-17	1991		A Logically Complete Reasoning Maintenance System Based on a Logical Constraint Solver	IJCAI 1991	proceedings-article
18	citation-18	2021		Explanations for Monotonic Classifiers	ICML 2021	proceedings-article
19	citation-19	2000		Consequence Finding Algorithms	Handbook on Defeasible Reasoning and Uncertainty Management Systems	book-chapter
20	10.1016/j.artint.2018.07.007	2019	10.1016/j.artint.2018.07.007	Explanation in Artificial Intelligence: Insights from the Social Sciences	Artificial Intelligence	article
21	citation-21	2019		Interpretable Machine Learning: A Guide for Making Black Box Models Explainable	Leanpub	book
22	citation-22	2018		Verifying Properties of Binarized Deep Neural Networks	AAAI 2018	proceedings-article
23	10.1007/978-3-319-10428-7_7	2014	10.1007/978-3-319-10428-7_7	On Compiling CNF into Decision-DNNF	CP 2014	proceedings-article
24	10.1080/00029890.1952.11988183	1952	10.1080/00029890.1952.11988183	The Problem of Simplifying Truth Functions	American Mathematical Monthly	article
25	citation-25	1987		Foundations of Assumption-Based Truth Maintenance Systems: Preliminary Report	AAAI 1987	proceedings-article
26	citation-26	1990		Abductive and Default Reasoning: A Computational Core	AAAI 1990	proceedings-article
27	citation-27	2018		Formal Verification of Bayesian Network Classifiers	PGM 2018	proceedings-article
28	10.24963/ijcai.2018/708	2018	10.24963/ijcai.2018/708	A Symbolic Approach to Explaining Bayesian Network Classifiers	IJCAI 2018	proceedings-article
29	10.1609/aaai.v33i01.33017966	2019	10.1609/aaai.v33i01.33017966	Compiling Bayesian Networks into Decision Graphs	AAAI 2019	proceedings-article
30	citation-30	2019		Enumeration Complexity	Bulletin of the EATCS	article
31	citation-31	2000		Branching Programs and Binary Decision Diagrams	SIAM	book
