rank	openalex_id	year	doi	title	venue	type
1	W1710734607	2008	https://doi.org/10.5555/1855741.1855756	KLEE: unassisted and automatic generation of high-coverage tests for complex systems programs		article
2	W2110311336	2008	https://doi.org/10.1007/978-3-540-79124-9_10	Pex–White Box Test Generation for .NET	Lecture notes in computer science	conference-paper
3	W1979345446	2013	https://doi.org/10.1016/j.jss.2013.02.061	An orchestrated survey of methodologies for automated software test case generation	Journal of Systems and Software	article
4	W2161963160	2012	https://doi.org/10.1145/2393596.2393666	Automated concolic testing of smartphone apps		conference-paper
5	W2074888021	2008	https://doi.org/10.1145/1453101.1453131	Differential symbolic execution		conference-paper
6	W3016155638	2020	https://doi.org/10.1109/sp40000.2020.00024	VerX: Safety Verification of Smart Contracts		conference-paper
7	W2114345296	2009	https://doi.org/10.1109/dsn.2009.5270315	Fitness-guided path exploration in dynamic symbolic execution		conference-paper
8	W2082172430	2009	https://doi.org/10.1007/s10009-009-0118-1	A survey of new trends in symbolic execution for software testing and analysis	International Journal on Software Tools for Technology Transfer	article
9	W1970005004	2014	https://doi.org/10.1145/2568225.2568293	Enhancing symbolic execution with veritesting		conference-paper
10	W2134875273	2010	https://doi.org/10.1145/1706299.1706307	Compositional may-must program analysis		conference-paper
11	W1979693894	2012	https://doi.org/10.1145/2254064.2254088	Efficient state merging in symbolic execution		conference-paper
12	W2117402063	2009	https://doi.org/10.1007/978-3-642-00768-2_27	Path Feasibility Analysis for String-Manipulating Programs	Lecture notes in computer science	conference-paper
13	W2050853996	2008	https://doi.org/10.1145/1390630.1390662	Finding bugs in dynamic web applications		conference-paper
14	W2136579066	2010	https://doi.org/10.1109/tse.2010.31	Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking	IEEE Transactions on Software Engineering	article
15	W2865298191	2018	https://doi.org/10.1145/3213846.3213874	PerfFuzz: automatically generating pathological inputs		conference-paper
16	W2901387825	2018	https://doi.org/10.1109/scam.2018.00009	From Start-ups to Scale-ups: Opportunities and Open Problems for Static and Dynamic Program Analysis		conference-paper
17	W2105315191	2010	https://doi.org/10.1145/1806596.1806632	Complete functional synthesis		conference-paper
18	W2560252021	2016	https://doi.org/10.1145/2991079.2991114	Code obfuscation against symbolic execution attacks		conference-paper
19	W2024442685	2008	https://doi.org/10.1145/1348250.1348254	DSD-Crasher	ACM Transactions on Software Engineering and Methodology	article
20	W2114337691	2009	https://doi.org/10.1145/1542476.1542517	Snugglebug		conference-paper
21	W2032153666	2011	https://doi.org/10.1145/2001420.2001424	Automatic partial loop summarization in dynamic test generation		conference-paper
22	W2066353350	2012	https://doi.org/10.1145/2338965.2336771	Memoized symbolic execution		conference-paper
23	W2136601052	2015	https://doi.org/10.1145/2786805.2786830	MultiSE: multi-path symbolic execution using value summaries		conference-paper
24	W4288057718	2022	https://doi.org/10.1109/sp46214.2022.9833721	SAILFISH: Vetting Smart Contract State-Inconsistency Bugs in Seconds	2022 IEEE Symposium on Security and Privacy (SP)	conference-paper
25	W2294434616	2016	https://doi.org/10.1145/2884781.2884843	Guiding dynamic symbolic execution toward unverified program executions		conference-paper
26	W2795052548	2018	https://doi.org/10.1145/3180155.3180251	Chopped symbolic execution		conference-paper
27	W2982383932	2019	https://doi.org/10.1007/978-3-030-32409-4_18	sCompile: Critical Path Identification and Analysis for Smart Contracts	Lecture notes in computer science	conference-paper
28	W1992485833	2012	https://doi.org/10.1016/j.future.2012.02.006	State of the art: Dynamic symbolic execution for automated test generation	Future Generation Computer Systems	article
29	W2795283266	2018	https://doi.org/10.1145/3180155.3180177	Towards optimal concolic testing		conference-paper
30	W2008812751	2010	https://doi.org/10.1145/1831708.1831733	Exploiting program dependencies for scalable multiple-path symbolic execution		conference-paper
31	W2139459831	2013		An Orchestrated Survey on Automated Software Test Case Generation I		article
32	W2155216527	2014	https://doi.org/10.5555/2616448.2616459	Software dataplane verification	Networked Systems Design and Implementation	article
33	W2150684130	2006	https://doi.org/10.1145/1146238.1146267	DSD-Crasher		conference-paper
34	W2015265712	2014	https://doi.org/10.1109/tse.2014.2363469	STAR: Stack Trace Based Automatic Crash Reproduction via Symbolic Execution	IEEE Transactions on Software Engineering	article
35	W2883022143	2018	https://doi.org/10.1007/s10664-018-9640-7	GreenScaler: training software energy models with automatic test generation	Empirical Software Engineering	article
36	W2002758617	2014	https://doi.org/10.1145/2635868.2635872	How we get there: a context-guided search strategy in concolic testing		conference-paper
37	W1975191777	2013	https://doi.org/10.1145/2491411.2491425	Boosting concolic testing via interpolation		conference-paper
38	W2090601235	2013	https://doi.org/10.1109/sp.2013.40	Circuit Structures for Improving Efficiency of Security and Privacy Tools		conference-paper
39	W3151121979	2012	https://doi.org/10.1109/icse.2012.6227152	Build code analysis with symbolic evaluation		conference-paper
40	W1963739845	2014	https://doi.org/10.1145/2642937.2642951	Targeted test input generation using symbolic-concrete backward execution		conference-paper
41	W2120951650	2012	https://doi.org/10.5555/2337223.2337300	Build code analysis with symbolic evaluation		article
42	W2471111208	2016	https://doi.org/10.1109/tse.2016.2584063	Dependence Guided Symbolic Execution	IEEE Transactions on Software Engineering	article
43	W1550549614	2009	https://doi.org/10.1007/978-3-642-02658-4_41	Reducing Test Inputs Using Information Partitions	Lecture notes in computer science	conference-paper
44	W2095997776	2010	https://doi.org/10.1002/stvr.423	OSMOSE: automatic structural testing of executables	Software Testing Verification and Reliability	article
45	W2139443212	2011	https://doi.org/10.1145/1993316.1993529	Higher-order test generation	ACM SIGPLAN Notices	article
46	W2157971737	2009	https://doi.org/10.1007/978-3-642-02652-2_16	Efficient Testing of Concurrent Programs with Abstraction-Guided Symbolic Execution	Lecture notes in computer science	conference-paper
47	W2580207986	2017	https://doi.org/10.1109/tse.2017.2659751	Eliminating Path Redundancy via Postconditioned Symbolic Execution	IEEE Transactions on Software Engineering	article
48	W2115950902	2011	https://doi.org/10.1007/978-3-642-23702-7_12	Statically Validating Must Summaries for Incremental Compositional Dynamic Test Generation	Lecture notes in computer science	conference-paper
49	W2888541832	2018	https://doi.org/10.1145/3238147.3238178	Client-specific equivalence checking		conference-paper
50	W4290048282	2018	https://doi.org/10.1145/3167132.3167289	Improving function coverage with munch		conference-paper
51	W2765857833	2017	https://doi.org/10.1145/3139337.3139346	Modular Synthesis of Heap Exploits		conference-paper
52	W2472899067	2018	https://doi.org/10.1007/978-3-319-10575-8_19	Combining Model Checking and Testing		book-chapter
53	W3090526726	2020	https://doi.org/10.1145/3377811.3380399	Quickly generating diverse valid test inputs with reinforcement learning		conference-paper
54	W2977692062	2019	https://doi.org/10.1007/978-3-319-91908-9_24	Automated Software Test Generation: Some Challenges, Solutions, and Recent Advances	Lecture notes in computer science	conference-paper
