rank	source_id	year	doi	title	venue	type
1	https://doi.org/10.1145/3182657	2018	https://doi.org/10.1145/3182657	A survey of symbolic execution techniques	ACM Computing Surveys	article
2	https://doi.org/10.1007/11804192_6	2005	https://doi.org/10.1007/11804192_6	Smallfoot: Modular automatic assertion checking with separation logic	FMCO	conference-paper
3	https://doi.org/10.1007/11575467_5	2005	https://doi.org/10.1007/11575467_5	Symbolic execution with separation logic	APLAS	conference-paper
4	https://doi.org/10.1007/978-3-642-20398-5_33	2011	https://doi.org/10.1007/978-3-642-20398-5_33	Infer: An automatic program verifier for memory safety of C programs	NASA Formal Methods	conference-paper
5	https://doi.org/10.1145/1480881.1480917	2009	https://doi.org/10.1145/1480881.1480917	Compositional shape analysis by means of bi-abduction	POPL	conference-paper
6	https://doi.org/10.1145/2049697.2049700	2011	https://doi.org/10.1145/2049697.2049700	Compositional shape analysis by means of bi-abduction	Journal of the ACM	article
7	https://doi.org/10.1145/3110256	2017	https://doi.org/10.1145/3110256	Abstracting definitional interpreters (functional pearl)	Proceedings of the ACM on Programming Languages	article
8	https://doi.org/10.1145/3236950.3236956	2018	https://doi.org/10.1145/3236950.3236956	Symbolic execution for JavaScript	PPDP	conference-paper
9	https://doi.org/10.1145/3158138	2018	https://doi.org/10.1145/3158138	JaVerT: JavaScript verification toolchain	Proceedings of the ACM on Programming Languages	article
10	https://doi.org/10.1145/3290379	2019	https://doi.org/10.1145/3290379	JaVerT 2.0: Compositional symbolic execution for JavaScript	Proceedings of the ACM on Programming Languages	article
11	https://doi.org/10.1145/3385412.3386014	2020	https://doi.org/10.1145/3385412.3386014	Gillian, part I: A multi-language platform for symbolic execution	PLDI	conference-paper
12	https://doi.org/10.1145/2103656.2103663	2012	https://doi.org/10.1145/2103656.2103663	Towards a program logic for JavaScript	POPL	conference-paper
13	https://doi.org/10.1145/1706299.1706307	2010	https://doi.org/10.1145/1706299.1706307	Compositional may-must program analysis: Unleashing the power of alternation	POPL	conference-paper
14	https://doi.org/10.1007/978-3-642-20398-5_4	2011	https://doi.org/10.1007/978-3-642-20398-5_4	VeriFast: A powerful, sound, predictable, fast verifier for C and Java	NASA Formal Methods	conference-paper
15	https://doi.org/10.2168/LMCS-11(3:19)2015	2015	https://doi.org/10.2168/LMCS-11(3:19)2015	Featherweight VeriFast	Logical Methods in Computer Science	article
16	https://doi.org/10.1007/978-3-642-54862-8_26	2014	https://doi.org/10.1007/978-3-642-54862-8_26	CBMC – C bounded model checker	TACAS	conference-paper
17	https://doi.org/10.1145/3527325	2022	https://doi.org/10.1145/3527325	Finding real bugs in big programs with incorrectness logic	Proceedings of the ACM on Programming Languages	article
18	https://doi.org/10.48550/arXiv.2407.10838	2024	https://doi.org/10.48550/arXiv.2407.10838	Compositional symbolic execution for correctness and incorrectness reasoning (extended version)	arXiv	preprint
19	https://doi.org/10.4230/LIPIcs.ECOOP.2024.26	2024	https://doi.org/10.4230/LIPIcs.ECOOP.2024.26	Matching plans for frame inference in compositional reasoning	ECOOP	conference-paper
20	https://doi.org/10.4230/LIPIcs.ECOOP.2023.19	2023	https://doi.org/10.4230/LIPIcs.ECOOP.2023.19	Exact separation logic	ECOOP	conference-paper
21	https://doi.org/10.1007/978-3-030-81688-9_38	2021	https://doi.org/10.1007/978-3-030-81688-9_38	Gillian, part II: Real-world verification for JavaScript and C	CAV	conference-paper
22	https://doi.org/10.1145/3358502.3361269	2019	https://doi.org/10.1145/3358502.3361269	From definitional interpreter to symbolic executor	META	conference-paper
23	https://doi.org/10.1007/978-3-662-49122-5_2	2016	https://doi.org/10.1007/978-3-662-49122-5_2	Viper: A verification infrastructure for permission-based reasoning	VMCAI	conference-paper
24	https://doi.org/10.1007/3-540-44802-0_1	2001	https://doi.org/10.1007/3-540-44802-0_1	Local reasoning about programs that alter data structures	Computer Science Logic	conference-paper
25	citation-25	2014		Collections-C: A library of generic data structures	GitHub	software
26	https://doi.org/10.1007/978-3-642-19718-5_23	2011	https://doi.org/10.1007/978-3-642-19718-5_23	The relationship between separation logic and implicit dynamic frames	ESOP	conference-paper
27	https://doi.org/10.1145/3498709	2022	https://doi.org/10.1145/3498709	A formal foundation for symbolic evaluation with merging	Proceedings of the ACM on Programming Languages	article
28	https://doi.org/10.1007/978-3-030-53291-8_14	2020	https://doi.org/10.1007/978-3-030-53291-8_14	Local reasoning about the presence of bugs: Incorrectness separation logic	CAV	conference-paper
29	https://doi.org/10.1109/LICS.2002.1029817	2002	https://doi.org/10.1109/LICS.2002.1029817	Separation logic: A logic for shared mutable data structures	LICS	conference-paper
30	citation-30	2016		Advancing Automated, Permission-Based Program Verification Using Symbolic Execution	ETH Zürich	dissertation
31	https://doi.org/10.1007/978-3-642-03013-0_8	2009	https://doi.org/10.1007/978-3-642-03013-0_8	Implicit dynamic frames: Combining dynamic frames and separation logic	ECOOP	conference-paper
32	https://doi.org/10.1145/2594291.2594340	2014	https://doi.org/10.1145/2594291.2594340	A lightweight symbolic virtual machine for solver-aided host languages	PLDI	conference-paper
33	citation-33	2001		Local Reasoning for Stateful Programs	University of Illinois Urbana-Champaign	dissertation
34	https://doi.org/10.1145/3586045	2023	https://doi.org/10.1145/3586045	Outcome logic: A unifying foundation for correctness and incorrectness reasoning	Proceedings of the ACM on Programming Languages	article
35	https://doi.org/10.1145/3632927	2024	https://doi.org/10.1145/3632927	Sound gradual verification with symbolic execution	Proceedings of the ACM on Programming Languages	article
