key	year	title	stage	contribution	evidence	setting
arxiv:2005.06601	2020	Unlocking the Power of Deep PICO Extraction: Step-wise Medical NER Id…	extract	method	benchmark	med
arxiv:2112.05596	2021	Automated tabulation of clinical trial results: A joint entity and re…	extract	method	benchmark	med
arxiv:2211.15397	2022	Automating Systematic Literature Reviews with Natural Language Proces…	meta	position	none	general
arxiv:2305.00844	2023	Automated Paper Screening for Clinical Reviews Using Large Language M…	screen	evaluation	human-agree	med
arxiv:2305.11828	2023	Appraising the Potential Uses and Harms of LLMs for Medical Systemati…	meta	evaluation	none	med
arxiv:2306.14905	2023	PRISMA-DFLLM: An Extension of PRISMA for Systematic Literature Review…	end2end	method	none	general
arxiv:2307.06464	2023	Assessing the Ability of ChatGPT to Screen Articles for Systematic Re…	screen	evaluation	human-agree	se
arxiv:2308.06610	2023	Bio-SIEVE: Exploring Instruction Tuning Large Language Models for Sys…	screen	method	benchmark	med
arxiv:2310.17526	2023	Can large language models replace humans in the systematic review pro…	end2end	evaluation	human-agree	med
arxiv:2311.07918	2023	Automated title and abstract screening for scoping reviews using the…	screen	system	human-agree	general
arxiv:2311.12474	2023	CSMeD: Bridging the Dataset Gap in Automated Citation Screening for S…	screen	evaluation	benchmark	med
arxiv:2403.02574	2024	ChatCite: LLM Agent with Human Workflow Guidance for Comparative Lite…	synthesize	method	none	general
arxiv:2403.08399	2024	System for systematic literature review using multiple AI agents: Con…	end2end	system	benchmark	general
arxiv:2405.14445	2024	Exploring the use of a Large Language Model for data extraction in sy…	extract	evaluation	human-agree	general
arxiv:2406.17755	2024	Accelerating Clinical Evidence Synthesis with Large Language Models	end2end	system	none	med
arxiv:2408.04646	2024	Efficacy of Large Language Models in Systematic Reviews	end2end	evaluation	human-agree	general
arxiv:2409.04600	2024	The emergence of Large Language Models (LLM) as a tool in literature…	meta	evaluation	none	med
arxiv:2411.02451	2024	High-performance automated abstract screening with large language mod…	screen	evaluation	human-agree	med
arxiv:2411.06159	2024	Mixture of Knowledge Minigraph Agents for Literature Review Generation	synthesize	method	none	general
