date	round_id	phase	source	exact_query_or_seed	direction	hits	screened	included_keys	excluded_keys	notes
2026-08-04	closure-concept-1	database-search	OpenAlex API	SELECT formal system testing debugging programs symbolic execution	query	6753	25	boyer1975select	-	First 25 relevance-ranked results; snapshot screening/concept-1-01.tsv
2026-08-04	closure-concept-1	database-search	OpenAlex API	knowledge compilation d-DNNF disjoint partial model enumeration	query	125	25	lagniez2024decisiondnnf,decolnet2022prime,moehle2025short	-	First 25 relevance-ranked results; snapshot screening/concept-1-02.tsv
2026-08-04	closure-concept-1	database-search	OpenAlex API	projected model enumeration short models AllSAT	query	31	25	moehle2025short,toda2016allsat,spallitta2024disjoint,spallitta2025projected	-	First 25 relevance-ranked results; snapshot screening/concept-1-03.tsv
2026-08-04	closure-concept-1	database-search	OpenAlex API	enumeration complexity output polynomial delay models	query	6330	25	creignou2019enumeration	-	Noisy cross-disciplinary result set; snapshot screening/concept-1-04.tsv
2026-08-04	closure-concept-1	database-search	OpenAlex API	configuration structures event structures propositional models	query	99192	25	vanglabbeek2009configuration	-	Noisy cross-disciplinary result set; snapshot screening/concept-1-05.tsv
2026-08-04	closure-concept-1	database-search	OpenAlex API	Lurette automatic testing reactive systems Lustre	query	21	21	raymond1998lurette	-	All results screened; snapshot screening/concept-1-06.tsv
2026-08-04	closure-concept-1	database-search	OpenAlex API	symbolic graph execution dataflow graph	query	3153	25	shi2012integration	abadal2021computinggnn,vatter2023distributedgnn,steenhoek2024dataflowdeep,wilschut1993query,geilen2010scenarios,degroote2012throughput	False-positive control; snapshot screening/concept-1-07.tsv
2026-08-04	closure-concept-2	database-search	OpenAlex API	"A Knowledge Compilation Map" Darwiche Marquis	query	532	25	darwiche2002knowledge	-	Exact-title refinement; snapshot screening/concept-2-01.tsv
2026-08-04	closure-concept-2	database-search	OpenAlex API	"enumeration complexity" polynomial delay output-sensitive	query	49	25	creignou2019enumeration	strozecki2023enumeration	Secondary survey excluded from claim evidence; snapshot screening/concept-2-02.tsv
2026-08-04	closure-concept-2	database-search	OpenAlex API	"On enumerating short projected models"	query	10	10	moehle2025short,spallitta2024disjoint,spallitta2025projected	-	All results screened and duplicate versions merged by DOI; snapshot screening/concept-2-03.tsv
2026-08-04	closure-concept-2	database-search	OpenAlex API	"configuration structures" "event structures"	query	142	25	vanglabbeek2009configuration	-	Remaining results are concurrency-specific refinements; snapshot screening/concept-2-04.tsv
2026-08-04	closure-concept-2	database-search	OpenAlex API	"Automatic testing of reactive systems" Lurette	query	8	8	raymond1998lurette	-	Later applications did not define a closer semantic object; snapshot screening/concept-2-05.tsv
2026-08-04	closure-seeds-1	backward-snowballing	Primary DATE paper bibliography	DOI:10.1109/DATE.2004.1268825	backward	10	10	narayan1996partitioned,bryant1986bdd	-	seed-key:feng2004dynamic; primary bibliography used because the OpenAlex record is sparse
2026-08-04	closure-seeds-1	forward-snowballing	Semantic Scholar Graph API	CorpusId:c709e9524e49394686ef5e0e3c7b1cd9c7412658	forward	2	2	feng2005twodomain	feng2006characteristic	seed-key:feng2004dynamic; citation graph is known incomplete and cannot establish forward closure
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1007/978-3-642-02658-4_33;W2107426858	backward	34	33	king1976symbolic	-	seed-key:kanade2009simulink; one identifier unresolved; snapshot screening/seed-1-kanade2009-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W2107426858	forward	49	49	bouissou2012simulink,majumdar2012clse	-	seed-key:kanade2009simulink; all returned titles screened; snapshot screening/seed-1-kanade2009-forward.tsv
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1145/3341694;W2958869096	backward	34	32	-	-	seed-key:mokhov2019selective; two identifiers unresolved; snapshot screening/seed-1-mokhov2019-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W2958869096	forward	14	14	-	-	seed-key:mokhov2019selective; selective parser and effect applications; snapshot screening/seed-1-mokhov2019-forward.tsv
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1145/1190215.1190226;W2133612077	backward	35	32	king1976symbolic	-	seed-key:godefroid2007compositional; three identifiers unresolved; snapshot screening/seed-1-godefroid2007-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W2133612077	forward	411	411	anand2008demand,vanoverberghe2011theoretical,qiu2015memoized,shi2012integration	-	seed-key:godefroid2007compositional; all returned titles screened; snapshot screening/seed-1-godefroid2007-forward.tsv
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1145/3498709;W4205913186	backward	41	39	torlak2014rosette,sen2015multise,lucanu2017generic,santos2020gillian	-	seed-key:porncharoenwase2022merging; two identifiers unresolved; snapshot screening/seed-1-porncharoenwase2022-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W4205913186	forward	12	12	lu2023grisette,voogd2025compositional	-	seed-key:porncharoenwase2022merging; all returned titles screened; snapshot screening/seed-1-porncharoenwase2022-forward.tsv
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1016/j.tcs.2025.115263;W4409538590	backward	39	24	porncharoenwase2022merging,lucanu2017generic	-	seed-key:voogd2025compositional; fifteen identifiers unresolved; row cannot establish closure; snapshot screening/seed-1-voogd2025-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W4409538590	forward	0	0	-	-	seed-key:voogd2025compositional; recent paper; zero indexed citations is weak evidence, not saturation; snapshot screening/seed-1-voogd2025-forward.tsv
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1145/3276487;W2891174825	backward	64	63	reisner2010configurable,erwig2011choice,sen2015multise,meinicke2018traces	-	seed-key:wong2018variational; one identifier unresolved; snapshot screening/seed-1-wong2018-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W2891174825	forward	27	27	-	-	seed-key:wong2018variational; no closer pure-graph observation enumerator; snapshot screening/seed-1-wong2018-forward.tsv
2026-08-04	closure-seeds-1	backward-snowballing	OpenAlex API	DOI:10.1145/3408984;W3047503662	backward	13	13	consel1993partial	-	seed-key:palmer2020demand; snapshot screening/seed-1-palmer2020-backward.tsv
2026-08-04	closure-seeds-1	forward-snowballing	OpenAlex API	W3047503662	forward	5	5	smith2024puredemand	-	seed-key:palmer2020demand; contextual terminology neighbor; snapshot screening/seed-1-palmer2020-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1145/2786805.2786830	backward	64	64	majumdar2009information,avgerinos2014veritesting,kuznetsov2012merging,bryant1986bdd,king1976symbolic,godefroid2007compositional,anand2008demand	-	seed-key:sen2015multise; complete index export; snapshot screening/seed-2-sen2015multise-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1145/2786805.2786830	forward	107	107	trabish2018chopped,wang2017dependence,bornholt2018explodes,lu2023grisette,wong2018variational,scheurer2016lattice,porncharoenwase2022merging,chandra2018bonsai	-	seed-key:sen2015multise; all returned titles screened; snapshot screening/seed-2-sen2015multise-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1007/978-3-540-78800-3_28	backward	32	32	king1976symbolic,godefroid2007compositional	-	seed-key:anand2008demand; complete index export; snapshot screening/seed-2-anand2008demand-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1007/978-3-540-78800-3_28	forward	220	220	avgerinos2014veritesting,kuznetsov2012merging,sen2015multise,trabish2018chopped,santelices2010dependencies,wang2017dependence,majumdar2009information,slaby2013compact,qiu2015memoized,scheurer2016lattice,vanoverberghe2011theoretical,denaro2012allvalues	-	seed-key:anand2008demand; all returned titles screened; snapshot screening/seed-2-anand2008demand-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.4230/LIPIcs.ECOOP.2024.25	backward	0	0	-	-	seed-key:loow2024compositional; index exposes no references despite a real bibliography; snapshot screening/seed-2-loow2024compositional-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.4230/LIPIcs.ECOOP.2024.25	forward	6	6	-	-	seed-key:loow2024compositional; all returned titles screened; snapshot screening/seed-2-loow2024compositional-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1145/3571209	backward	58	55	hansen2009joining,avgerinos2014veritesting,kuznetsov2012merging,king1976symbolic,sen2015multise,boyer1975select,bornholt2018explodes,porncharoenwase2022merging	-	seed-key:lu2023grisette; three identifiers unresolved and index omits further primary citations; snapshot screening/seed-2-lu2023grisette-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1145/3571209	forward	9	9	-	-	seed-key:lu2023grisette; all returned titles screened; snapshot screening/seed-2-lu2023grisette-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1017/S1471068411000263	backward	12	11	-	-	seed-key:antoy2011pull; one identifier unresolved and index omits primary citations; snapshot screening/seed-2-antoy2011pull-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1017/S1471068411000263	forward	10	10	-	-	seed-key:antoy2011pull; all returned titles screened; snapshot screening/seed-2-antoy2011pull-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.34727/2023/isbn.978-3-85448-060-0_19	backward	0	0	-	-	seed-key:ryan2023sylvia; index exposes no references despite a real bibliography; snapshot screening/seed-2-ryan2023sylvia-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.34727/2023/isbn.978-3-85448-060-0_19	forward	10	10	ryan2025sylq,ryan2025environment,liang2026dataflowpruning	-	seed-key:ryan2023sylvia; all returned titles screened; snapshot screening/seed-2-ryan2023sylvia-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1145/378239.378278	backward	10	10	seger1995trajectory,bryant1986bdd	-	seed-key:kolbl2001rtl; complete index export; snapshot screening/seed-2-kolbl2001rtl-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1145/378239.378278	forward	52	52	pinto2017cort	-	seed-key:kolbl2001rtl; all returned titles screened; snapshot screening/seed-2-kolbl2001rtl-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1109/ICCAD.1996.569909	backward	26	25	bryant1986bdd	-	seed-key:narayan1996partitioned; one identifier unresolved and primary list is longer; snapshot screening/seed-2-narayan1996partitioned-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1109/ICCAD.1996.569909	forward	63	63	ciesielski2006ted,li2004solall,jain2001composition,bollig1997partitioned,feng2004dynamic	-	seed-key:narayan1996partitioned; all returned titles screened; snapshot screening/seed-2-narayan1996partitioned-forward.tsv
