key	status	code	year	title	relation	artifact	execution	goal	evidence	priority	relevance	url
arxiv:1304.7858	excluded	E2-formal-hardware-without-execution	2013	Abstract Stobjs and Their Application to ISA Modeling						low	Abstract stobjs improve ACL2 representation and proof for ISA models; their incidental support for symbolic simulation does not make execution of hardware paths or traces the paper's verification mechanism.	https://arxiv.org/abs/1304.7858
arxiv:1602.03095	excluded	E2-formal-hardware-without-execution	2016	OpenRISC System-on-Chip Design Emulation						low	The OpenRISC SoC is run through concrete design emulation; no symbolic inputs, constraints, or path splitting are part of the stated method.	https://arxiv.org/abs/1602.03095
arxiv:1602.06038	excluded	E8-duplicate-or-superseded	2016	Automatic Generation of High-Coverage Tests for RTL Designs using Software Techniques and Tools						low	Duplicate or superseded record for Automatic Generation of High-Coverage Tests for RTL Designs using Software Techniques and Tools; retained canonical record doi:10.1109/iciea.2016.7603701.	https://arxiv.org/abs/1602.06038
arxiv:1604.06778	excluded	E6-out-of-scope-artifact	2016	Benchmarking Deep Reinforcement Learning for Continuous Control						low	This benchmarks reinforcement learning for continuous-control tasks, not symbolic execution of hardware.	https://arxiv.org/abs/1604.06778
arxiv:1611.10146	excluded	E7-secondary-or-insubstantial	2016	Matching Multiplications in Bit-Vector Formulas						low	Matching multiplication patterns is an SMT bit-vector preprocessing optimization; it may aid solvers but is not itself hardware execution or selected lineage.	https://arxiv.org/abs/1611.10146
arxiv:1702.00686	excluded	E7-secondary-or-insubstantial	2017	Co-simulation: State of the art						low	This state-of-the-art overview surveys co-simulation approaches rather than presenting a primary symbolic hardware executor.	https://arxiv.org/abs/1702.00686
arxiv:1705.10295	excluded	E5-hardware-accelerates-software	2017	HardScope: Thwarting DOP with Hardware-assisted Run-time Scope Enforcement						low	HardScope adds hardware-assisted runtime enforcement for software attacks; hardware enforces concrete scopes rather than participating in symbolic execution.	https://arxiv.org/abs/1705.10295
arxiv:1709.09019	excluded	E2-formal-hardware-without-execution	2017	Synthesizing SystemC Code from Delay Hybrid CSP						low	The method translates delay hybrid CSP into SystemC code, a model-to-code synthesis step without symbolic execution of the generated SystemC model.	https://arxiv.org/abs/1709.09019
arxiv:1711.07606	excluded	E5-hardware-accelerates-software	2017	Programmatic Control of a Compiler for Generating High-performance Spatial Hardware						low	Programmatic compiler control generates spatial accelerators from software; it does not symbolically execute their hardware designs.	https://arxiv.org/abs/1711.07606
arxiv:1712.09818	excluded	E2-formal-hardware-without-execution	2017	Automated Formal Equivalence Verification of Pipelined Nested Loops in Datapath Designs						low	The stated contribution is formal equivalence verification of pipelined datapaths, with no load-bearing symbolic-execution mechanism shown.	https://arxiv.org/abs/1712.09818
arxiv:1803.00403	excluded	E1-software-or-firmware-only	2018	A general formal memory framework in Coq for verifying the properties of programs based on higher-order logic theorem proving with increased automation, consistency, and reusability						low	Although the Coq memory framework simulates the shape of physical memory, its symbolic execution demonstrates verification of programming-language code, not symbolic participation by a hardware design model.	https://arxiv.org/abs/1803.00403
arxiv:1803.06300	excluded	E1-software-or-firmware-only	2018	Combining Symbolic Execution and Model Checking to Verify MPI Programs						low	The combined symbolic execution/model-checking method verifies MPI software programs, not hardware designs.	https://arxiv.org/abs/1803.06300
arxiv:1804.01468	excluded	E6-out-of-scope-artifact	2018	P4K: A Formal Semantics of P4 and Applications						low	P4K symbolically executes P4 network/data-plane programs, which the protocol treats as network artifacts rather than digital hardware designs.	https://arxiv.org/abs/1804.01468
arxiv:1805.08876	excluded	E1-software-or-firmware-only	2018	Soteria: Automated IoT Safety and Security Analysis						low	Soteria analyzes IoT applications and their safety/security behavior; the record does not make device RTL symbolic.	https://arxiv.org/abs/1805.08876
arxiv:1810.02338	excluded	E6-out-of-scope-artifact	2018	Neural-Symbolic VQA: Disentangling Reasoning from Vision and Language Understanding						low	Neural-symbolic VQA combines learned perception with symbolic question answering, entirely outside electronic design artifacts.	https://arxiv.org/abs/1810.02338
arxiv:1812.00197	excluded	E1-software-or-firmware-only	2018	When a Patch is Not Enough - HardFails: Software-Exploitable Hardware  Bugs						low	HardFails studies software-exploitable processor bugs through software-level analysis; it does not symbolically execute an RTL or other hardware design representation.	https://arxiv.org/abs/1812.00197
arxiv:1909.09861	excluded	E4-analog-physical-or-postsilicon	2019	Hybrid Beamformer Codebook Design and Ordering for Compressive mmWave Channel Estimation						low	The paper optimizes analog/digital beamformers and pilot ordering for a physical mmWave channel, not execution of a digital design artifact.	https://arxiv.org/abs/1909.09861
arxiv:1911.00507	excluded	E1-software-or-firmware-only	2019	SpecuSym: Speculative Symbolic Execution for Cache Timing Leak Detection						low	SpecuSym runs KLEE on software programs and models speculative cache effects; it does not symbolically execute processor RTL.	https://arxiv.org/abs/1911.00507
arxiv:1911.07707	excluded	E1-software-or-firmware-only	2019	Building Fast Fuzzers						low	Building fast fuzzers concerns software fuzzing infrastructure and contains no hardware model participating symbolically.	https://arxiv.org/abs/1911.07707
arxiv:1912.08788	excluded	E1-software-or-firmware-only	2019	Binsec/Rel: Efficient Relational Symbolic Execution for Constant-Time at  Binary-Level						low	Binsec/Rel symbolically executes software binaries to check constant time; no hardware design participates.	https://arxiv.org/abs/1912.08788
arxiv:1912.12363	excluded	E5-hardware-accelerates-software	2019	TASE: Reducing latency of symbolic execution with transactional memory						low	TASE uses Intel transactional-memory hardware to make symbolic execution of client/server software cheaper; the hardware only accelerates the software analyzer.	https://arxiv.org/abs/1912.12363
arxiv:2001.01324	deep-read		2020	Hardware/Software Co-verification Using Path-based Symbolic Execution	core	mixed-level	classical	functional	experiment	critical	COVERIF executes coupled firmware and hardware paths symbolically, accumulates path constraints across the interface, and returns bounded cross-level witnesses.	https://arxiv.org/abs/2001.01324
arxiv:2005.05254	excluded	E1-software-or-firmware-only	2020	Validation of Abstract Side-Channel Models for Computer Architectures						low	Scam-V symbolically executes generated programs and then measures real hardware; the computer architecture model is validated, not symbolically executed.	https://arxiv.org/abs/2005.05254
arxiv:2007.07586	excluded	E1-software-or-firmware-only	2020	TeeRex: Discovery and Exploitation of Memory Corruption Vulnerabilities in SGX Enclaves						low	TeeRex symbolically executes SGX enclave binaries; processor hardware only supplies the trusted environment.	https://arxiv.org/abs/2007.07586
arxiv:2010.15866	excluded	E2-formal-hardware-without-execution	2020	CURE: A Security Architecture with CUstomizable and Resilient Enclaves						low	CURE contributes a customizable enclave security architecture; no symbolic execution of its RTL or architectural state is described.	https://arxiv.org/abs/2010.15866
