rank	openalex_id	year	doi	title	venue	type
1	W89760577	2014	https://doi.org/10.1007/978-3-319-10428-7_7	On Compiling CNF into Decision-DNNF	Lecture notes in computer science	conference-paper
2	W143396352	2000	https://doi.org/10.1137/1.9780898719789	Branching Programs and Binary Decision Diagrams	Society for Industrial and Applied Mathematics eBooks	book
3	W145128706	1987		Found ations of assumption-based truth maintenance systems: preliminary report	National Conference on Artificial Intelligence	conference-paper
4	W165407864	1991		A logically complete reasoning maintenance system based on a logical constraint solver		article
5	W1484529399	1993	https://doi.org/10.1007/3-540-57568-5_271	On Horn envelopes and hypergraph transversals	Lecture notes in computer science	conference-paper
6	W1976127067	2007	https://doi.org/10.1016/j.dam.2007.04.017	Computational aspects of monotone dualization: A brief survey	Discrete Applied Mathematics	article
7	W1986660301	2001	https://doi.org/10.1145/502090.502091	Decomposable negation normal form	Journal of the ACM	article
8	W1996070840	1999	https://doi.org/10.1016/s0166-218x(99)00099-2	On generating the irredundant conjunctive and disjunctive normal forms of monotone Boolean functions	Discrete Applied Mathematics	article
9	W2019184769	1978	https://doi.org/10.1016/0012-365x(78)90168-1	On the number of prime implicants	Discrete Mathematics	article
10	W2080267935	1986	https://doi.org/10.1109/tc.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	article
11	W2097292627	1959	https://doi.org/10.2307/2964570	The problem of simplifying logical expressions	Journal of Symbolic Logic	article
12	W2100657934	1995	https://doi.org/10.1145/200836.200838	The complexity of logic-based abduction	Journal of the ACM	article
13	W2124301168	1990		Abductive and default reasoning: a computational core	National Conference on Artificial Intelligence	conference-paper
14	W2294633264	2013		Knowledge Compilation for Model Counting: Affine Decision Trees	HAL (Le Centre pour la Communication Scientifique Directe)	conference-paper
15	W2899401625	2018		Formal Verification of Bayesian Network Classifiers	Probabilistic Graphical Models	article
16	W2963673089	2018	https://doi.org/10.1609/aaai.v32i1.12206	Verifying Properties of Binarized Deep Neural Networks		article
17	W2964359568	2019	https://doi.org/10.1609/aaai.v33i01.33011511	Abduction-Based Explanations for Machine Learning Models		article
18	W3090471081	2020	https://doi.org/10.48550/arxiv.2002.09284	On The Reasons Behind Decisions	arXiv (Cornell University)	preprint
19	W3099451540	2002		A Knowledge Compilation Map		article
20	W3114132282	2020	https://doi.org/10.48550/arxiv.2012.11067	On Relating 'Why?' and 'Why Not?' Explanations	arXiv (Cornell University)	preprint
21	W3166668003	2021	https://doi.org/10.48550/arxiv.2106.00154	Explanations for Monotonic Classifiers	arXiv (Cornell University)	preprint
22	W3188794522	2021	https://doi.org/10.48550/arxiv.2108.05266	On the Explanatory Power of Decision Trees	arXiv (Cornell University)	preprint
23	W4253456425	1952	https://doi.org/10.2307/2308219	The Problem of Simplifying Truth Functions	American Mathematical Monthly	article
