key	year	stage	contribution	evidence	setting	rq_core
arxiv:2305.11828	2023	meta	evaluation	none	med	no
arxiv:2306.14905	2023	end2end	method	none	general	no
arxiv:2308.06610	2023	screen	method	benchmark	med	no
arxiv:2403.02574	2024	synthesize	method	none	general	no
arxiv:2403.08399	2024	end2end	system	benchmark	general	no
arxiv:2405.14445	2024	extract	evaluation	human-agree	general	yes
arxiv:2406.17755	2024	end2end	system	none	med	no
arxiv:2408.04646	2024	end2end	evaluation	human-agree	general	yes
arxiv:2409.04600	2024	meta	evaluation	none	med	no
arxiv:2411.02451	2024	screen	evaluation	human-agree	med	yes
arxiv:2411.06159	2024	synthesize	method	none	general	no
arxiv:2412.15247	2024	screen	system	human-agree	med	yes
arxiv:2501.05468	2025	end2end	system	benchmark	general	no
arxiv:2501.19359	2025	screen	evaluation	none	general	no
arxiv:2502.14767	2025	appraise	method	none	general	no
arxiv:2502.15702	2025	end2end	evaluation	human-agree	med	yes
arxiv:2503.13857	2025	appraise	method	benchmark	med	no
arxiv:2504.04193	2025	screen	system	none	med	no
arxiv:2504.08752	2025	end2end	system	none	general	no
arxiv:2504.14822	2025	end2end	system	none	med	no
arxiv:2504.20276	2025	extract	evaluation	human-agree	general	yes
arxiv:2505.07155	2025	search	evaluation	benchmark	general	no
arxiv:2505.20310	2025	end2end	system	none	general	no
arxiv:2505.22787	2025	synthesize	evaluation	human-agree	med	yes
arxiv:2505.24757	2025	screen	method	none	general	no
arxiv:2508.12170	2025	report	evaluation	none	se	no
arxiv:2510.05138	2025	synthesize	system	none	general	no
arxiv:2510.16091	2025	screen	evaluation	benchmark	general	no
arxiv:2511.12635	2025	meta	guideline	none	general	yes
arxiv:2511.17689	2025	report	system	none	general	no
arxiv:2512.11261	2025	screen	method	benchmark	med	no
arxiv:2512.20022	2025	screen	system	benchmark	general	yes
arxiv:2602.00011	2025	search	method	none	general	no
arxiv:2603.22327	2026	meta	evaluation	human-agree	med	yes
arxiv:2603.24767	2026	screen	method	benchmark	general	no
arxiv:2603.28336	2026	end2end	system	none	general	no
arxiv:2604.01452	2026	synthesize	system	none	general	no
arxiv:2605.15245	2026	report	evaluation	none	se	no
arxiv:2606.28363	2026	end2end	system	none	med	no
arxiv:2607.05031	2026	screen	evaluation	human-agree	se	yes
doi:10.1001/jamanetworkopen.2024.20496	2024	screen	evaluation	human-agree	med	yes
doi:10.1002/cesm.70033	2025	extract	evaluation	human-agree	med	yes
doi:10.1002/cesm.70042	2025	screen	system	human-agree	med	yes
doi:10.1002/cesm.70058	2025	extract	method	human-agree	med	yes
doi:10.1002/hkj2.70085	2026	meta	position	none	med	no
doi:10.1002/jrsm.1710	2024	extract	evaluation	human-agree	med	yes
doi:10.1002/jrsm.1715	2024	end2end	evaluation	human-agree	med	yes
doi:10.1002/jrsm.1732	2024	extract	evaluation	human-agree	med	yes
doi:10.1007/978-3-031-56027-9_25	2024	screen	evaluation	human-agree	med	yes
doi:10.1007/s10462-024-10902-3	2024	meta	position	none	general	no
doi:10.1007/s11192-024-05206-w	2025	end2end	evaluation	none	general	no
