rank	source_id	year	doi	title	venue	type
1	10.1038/NATURE14539	2015	10.1038/NATURE14539	Deep Learning	Nature	journal-article
2	citation-2	2014	-	In Search of the Real Inductive Bias: On the Role of Implicit Regularization in Deep Learning	-	reference
3	10.1103/PHYSREVLETT.66.2396	1991	10.1103/PHYSREVLETT.66.2396	Eigenvalues of Covariance Matrices: Application to Neural-Network Learning	Physical Review Letters	journal-article
4	citation-4	2018	-	Neural Tangent Kernel: Convergence and Generalization in Neural Networks	-	reference
5	citation-5	2020	-	Why Do Deep Residual Networks Generalize Better Than Deep Feedforward Networks?—A Neural Tangent Kernel Perspective	Advances in Neural Information Processing Systems	reference
6	citation-6	2018	-	The Implicit Bias of Gradient Descent on Separable Data	The Journal of Machine Learning Research	reference
7	citation-7	2018	-	A Spline Theory of Deep Learning	International Conference on Machine Learning	reference
8	citation-8	2022	-	Singular Value Perturbation and Deep Network Optimization	-	reference
9	citation-9	2018	-	From Hard to Soft: Understanding Deep Network Nonlinearities via Vector Quantization and Statistical Inference	-	reference
10	citation-10	2020	-	Analytical Probability Distributions and Exact Expectation-Maximization for Deep Generative Networks	Advances in Neural Information Processing Systems	reference
11	10.1109/CVPR52688.2022.01038	2022	10.1109/CVPR52688.2022.01038	Polarity Sampling: Quality and Diversity Control of Pre-Trained Generative Networks via Singular Values	2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition	proceedings-article
12	10.1007/S00365-021-09548-Z	2022	10.1007/S00365-021-09548-Z	Nonlinear Approximation and (Deep) ReLU Networks	Constructive Approximation	journal-article
13	citation-13	2022	-	Batch Normalization Explained	-	reference
14	citation-14	2018	-	Towards Fast Computation of Certified Robustness for ReLU Networks	International Conference on Machine Learning	reference
15	citation-15	2018	-	Semidefinite Relaxations for Certifying Robustness to Adversarial Examples	Advances in Neural Information Processing Systems	reference
16	10.1007/978-3-642-61568-9	1987	10.1007/978-3-642-61568-9	Algorithms in Combinatorial Geometry	-	book
17	citation-17	2021	-	Neural Architecture Search on ImageNet in Four GPU Hours: A Theoretically Inspired Perspective	-	reference
18	citation-18	2015	-	Applied Dynamic Programming	-	reference
19	citation-19	2000	-	The Curse of Dimensionality	5th Online World Conference on Soft Computing in Industrial Applications	reference
20	citation-20	2014	-	On the Number of Linear Regions of Deep Neural Networks	Advances in Neural Information Processing Systems	reference
21	citation-21	2019	-	The Geometry of Deep Networks: Power Diagram Subdivision	Advances in Neural Information Processing Systems	reference
22	10.1016/0166-218X(95)00026-N	1996	10.1016/0166-218X(95)00026-N	Reverse Search for Enumeration	Discrete Applied Mathematics	journal-article
23	citation-23	2004	-	An Introduction to Hyperplane Arrangements	Geometrical Combinatorics	reference
