key	decision	via	year	title	id	rationale
arxiv:2403.04382	E1	consensus	2024	Acceleron: A Tool to Accelerate Research Ideation	http://arxiv.org/abs/2403.04382v1	
arxiv:2407.08940	E1	consensus	2024	Large Language Models as Biomedical Hypothesis Generators: A Comprehensive Evaluation	http://arxiv.org/abs/2407.08940v2	
arxiv:2411.00816	E1	consensus	2024	CycleResearcher: Improving Automated Research via Automated Review	http://arxiv.org/abs/2411.00816v3	
arxiv:2411.11910	E1	consensus	2024	AIGS: Generating Science from AI-Powered Automated Falsification	http://arxiv.org/abs/2411.11910v2	
arxiv:2411.13768	E1	consensus	2024	Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture	http://arxiv.org/abs/2411.13768v3	
arxiv:2412.06681	E1	consensus	2024	Toward LLM-Agent-Based Modeling of Transportation Systems: A Conceptual Framework	http://arxiv.org/abs/2412.06681v2	
arxiv:2502.12669	E1	consensus	2025	Perovskite-LLM: Knowledge-Enhanced Large Language Models for Perovskite Solar Cell Research	http://arxiv.org/abs/2502.12669v3	
arxiv:2503.00096	E1	consensus	2025	BixBench: a Comprehensive Benchmark for LLM-based Agents in Computational Biology	http://arxiv.org/abs/2503.00096v3	
arxiv:2503.23170	E1	consensus	2025	AstroAgents: A Multi-Agent AI for Hypothesis Generation from Mass Spectrometry Data	http://arxiv.org/abs/2503.23170v1	
arxiv:2504.09736	E1	consensus	2025	Agentic Workflows for Economic Research: Design and Implementation	http://arxiv.org/abs/2504.09736v1	
arxiv:2504.18765	E1	consensus	2025	A Vision for Auto Research with LLM Agents	http://arxiv.org/abs/2504.18765v3	
arxiv:2505.18705	E1	consensus	2025	AI-Researcher: Autonomous Scientific Innovation	http://arxiv.org/abs/2505.18705v1	
arxiv:2508.08137	E1	consensus	2025	MuaLLM: A Multimodal Large Language Model Agent for Circuit Design Assistance with Hybrid Contextual Retrieval-Augmented Generation	http://arxiv.org/abs/2508.08137v1	
arxiv:2509.14778	E1	consensus	2025	OpenLens AI: Fully Autonomous Research Agent for Health Infomatics	http://arxiv.org/abs/2509.14778v2	
arxiv:2509.26076	E1	consensus	2025	IMProofBench: Benchmarking AI on Research-Level Mathematical Proof Generation	http://arxiv.org/abs/2509.26076v2	
arxiv:2511.03179	E1	consensus	2025	Toward Autonomous Engineering Design: A Knowledge-Guided Multi-Agent Framework	http://arxiv.org/abs/2511.03179v3	
arxiv:2511.11257	E1	consensus	2025	AIonopedia: an LLM agent orchestrating multimodal learning for ionic liquid discovery	https://doi.org/10.48550/arXiv.2511.11257	
arxiv:2511.16931	E1	consensus	2025	OmniScientist: Toward a Co-evolving Ecosystem of Human and AI Scientists	http://arxiv.org/abs/2511.16931v2	
arxiv:2511.21382	E1	consensus	2025	Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities	http://arxiv.org/abs/2511.21382v2	
arxiv:2601.12607	E1	consensus	2026	A Cloud-based Multi-Agentic Workflow for Science	http://arxiv.org/abs/2601.12607v1	
arxiv:2602.05115	E1	consensus	2026	SocialVeil: Probing Social Intelligence of Language Agents under Communication Barriers	http://arxiv.org/abs/2602.05115v1	
arxiv:2605.26340	E1	adjudicated	2026	ScientistOne: Towards Human-Level Autonomous Research via Chain-of-Evidence	http://arxiv.org/abs/2605.26340v1	autonomous primary-research agent; verifiability of own outputs, not evidence synthesis
doi:10.00024v2	E1	consensus	2025	EpidemIQs: Prompt-to-Paper LLM Agents for Epidemic Modeling and Analysis	http://arxiv.org/abs/2510.00024v2	
doi:10.06155v3	E1	adjudicated	2023	CoQuest: Exploring Research Question Co-Creation with an LLM-based Agent	http://arxiv.org/abs/2310.06155v3	RQ co-creation for primary research (borderline: planning-stage adjacent)
doi:10.1002/adma.202502771	E1	consensus	2025	Empowering Generalist Material Intelligence with Large Language Models	https://doi.org/10.1002/adma.202502771	
doi:10.1016/j.autcon.2025.106103	E1	consensus	2025	Large language model-empowered paradigm for automated geotechnical site planning and geological characterization	https://doi.org/10.1016/j.autcon.2025.106103	
doi:10.1016/j.autcon.2025.106209	E1	consensus	2025	Systematic analysis of large language models for automating document-to-smart contract transformation	https://doi.org/10.1016/j.autcon.2025.106209	
doi:10.1016/j.autcon.2026.106872	E1	consensus	2026	Multimodal large language model-driven framework for road crack assessment	https://doi.org/10.1016/j.autcon.2026.106872	
doi:10.1016/j.infsof.2024.107523	E1	consensus	2024	Fine-tuning and prompt engineering for large language models-based code review automation	https://doi.org/10.1016/j.infsof.2024.107523	
doi:10.1038/s41524-025-01554-0	E1	consensus	2025	Applications of natural language processing and large language models in materials discovery	https://doi.org/10.1038/s41524-025-01554-0	
doi:10.1038/s41598-024-77535-y	E1	consensus	2024	Development and validation of a novel AI framework using NLP with LLM integration for relevant clinical data extraction through automated chart review	https://doi.org/10.1038/s41598-024-77535-y	
doi:10.1053/j.gastro.2023.12.019	E1	consensus	2023	A Comparison of a Large Language Model vs Manual Chart Review for the Extraction of Data Elements From the Electronic Health Record	https://doi.org/10.1053/j.gastro.2023.12.019	
doi:10.1093/jamia/ocae072	E1	adjudicated	2024	Large language models facilitate the generation of electronic health record phenotyping algorithms	https://doi.org/10.1093/jamia/ocae072	LLM generates phenotyping algorithms; literature synthesis is input, product is clinical artifact
doi:10.1101/2023.08.31.23294924	E1	consensus	2023	A comparison of large language model versus manual chart review for extraction of data elements from the electronic health record	https://doi.org/10.1101/2023.08.31.23294924	
doi:10.1101/2023.11.08.23298252	E1	consensus	2023	Development of a privacy preserving large language model for automated data extraction from thyroid cancer pathology reports	https://doi.org/10.1101/2023.11.08.23298252	
doi:10.1109/cac67268.2025.11487326	E1	consensus	2025	A Large Language Model-Driven Natural Language Instructions Control System for Robotic Arm	https://doi.org/10.1109/cac67268.2025.11487326	
doi:10.1109/icosst69113.2025.11315415	E1	adjudicated	2025	LLM-Agent Powered Automated Literature Review and Hypothesis Generation for Cancer Biomarker Discovery	https://doi.org/10.1109/ICOSST69113.2025.11315415	discovery pipeline; literature monitoring feeds hypothesis generation (borderline)
doi:10.1109/iseda65950.2025.11100410	E1	consensus	2025	SpecLLM: Exploring Generation and Review of VLSI Design Specification with Large Language Model	https://doi.org/10.1109/iseda65950.2025.11100410	
doi:10.1145/3571884.3604313	E1	consensus	2023	Harnessing Large Language Models for Cognitive Assistants in Factories	https://doi.org/10.1145/3571884.3604313	
