rank	source_id	year	doi	title	venue	type	abstract
1	5e66ed44ee09d176cdaa58112a5b17ae5d0a1684	2025	10.1109/MoSICom67153.2025.11398240	Multi-Objective Deep Reinforcement Learning with Fuzzy Evolutionary Reward Shaping for Pareto-Optimal Policy Optimization	2025 International Conference on Modeling, Simulation & Intelligent Computing (MoSICom)	Conference	Multi-objective reinforcement learning (MORL) seeks to optimize multiple conflicting goals simultaneously, but conventional fixed-weight scalarization methods often bias learning toward limited regions of the Pareto front. To address this, we propose a novel fuzzy evolutionary reward shaping framework for multi-objective deep reinforcement learning that dynamically adapts scalarization weights to the environmental context. The core idea integrates fuzzy inference with genetic algorithm (GA)-based parameter evolution, enabling adaptive mapping of normalized spatial depth into objective weights that balance treasure collection and time efficiency. The technology leverages deep reinforcement learning agents guided by fuzzy GA-shaped scalarization, contrasted against fixed-weight baselines across 500 episodic experiments. Results demonstrate that the proposed approach achieves robust convergence with an average scalarized return above 15, $\mathrm{R}^{2}$ of 0.91, and greater dispersion across the Pareto front, ensuring diverse policy outcomes. Error distributions concentrate in high-return regions, validating the resilience and adaptability of the method. This hybrid fuzzy-evolutionary framework introduces novelty by embedding interpretability and adaptability directly into reward shaping, overcoming static bias. By advancing reliable and adaptive policy optimization, the proposed work can support societal needs in autonomous navigation, robotics, resource allocation, and smart decisionmaking systems, contributing to efficiency and sustainability in real-world environments.
2	19a4f46f1e15e7b232dcf61f1232f8f856e5b5ad	2025	10.48550/arXiv.2509.25876	Efficient On-Policy Reinforcement Learning via Exploration of Sparse Parameter Space	arXiv.org	JournalArticle	Policy-gradient methods such as Proximal Policy Optimization (PPO) are typically updated along a single stochastic gradient direction, leaving the rich local structure of the parameter space unexplored. Previous work has shown that the surrogate gradient is often poorly correlated with the true reward landscape. Building on this insight, we visualize the parameter space spanned by policy checkpoints within an iteration and reveal that higher performing solutions often lie in nearby unexplored regions. To exploit this opportunity, we introduce ExploRLer, a pluggable pipeline that seamlessly integrates with on-policy algorithms such as PPO and TRPO, systematically probing the unexplored neighborhoods of surrogate on-policy gradient updates. Without increasing the number of gradient updates, ExploRLer achieves significant improvements over baselines in complex continuous control environments. Our results demonstrate that iteration-level exploration provides a practical and effective way to strengthen on-policy reinforcement learning and offer a fresh perspective on the limitations of the surrogate objective.
3	a652026eb912f940c56af1e5f9b094583ccc083c	2025		AlphaPO: Reward Shape Matters for LLM Alignment	International Conference on Machine Learning	JournalArticle	Reinforcement Learning with Human Feedback (RLHF) and its variants have made huge strides toward the effective alignment of large language models (LLMs) to follow instructions and reflect human values. More recently, Direct Alignment Algorithms (DAAs) have emerged in which the reward modeling stage of RLHF is skipped by characterizing the reward directly as a function of the policy being learned. Some popular examples of DAAs include Direct Preference Optimization (DPO) and Simple Preference Optimization (SimPO). These methods often suffer from likelihood displacement, a phenomenon by which the probabilities of preferred responses are often reduced undesirably. In this paper, we argue that, for DAAs the reward (function) shape matters. We introduce \textbf{AlphaPO}, a new DAA method that leverages an $\alpha$-parameter to help change the shape of the reward function beyond the standard log reward. AlphaPO helps maintain fine-grained control over likelihood displacement and over-optimization. Compared to SimPO, one of the best performing DAAs, AlphaPO leads to about 7\% to 10\% relative improvement in alignment performance for the instruct versions of Mistral-7B and Llama3-8B while achieving 15\% to 50\% relative improvement over DPO on the same models. The analysis and results presented highlight the importance of the reward shape and how one can systematically change it to affect training dynamics, as well as improve alignment performance.
4	1bbd007c6c0d05c35abba432f1f535ee4deff6ae	2025	10.3390/en19010057	Virtual Synchronous Generator Multi-Parameter Cooperative Adaptive Control Based on a Fuzzy and Soft Actor–Critic Fusion Framework	Energies	JournalArticle	To address the issue that distributed renewable energy grid-connected Virtual Synchronous Generator (VSG) systems are prone to significant power and frequency fluctuations under changing operating conditions, this paper proposes a multi-parameter coordinated control strategy for VSGs based on a fusion framework of fuzzy logic and the Soft Actor–Critic (SAC) algorithm, termed Improved SAC-based Virtual Synchronous Generator control (ISAC-VSG). First, the method uses fuzzy logic to map the frequency deviation and its rate of change into a five-dimensional membership vector, which characterizes the uncertainty and nonlinear features during the transient process, enabling segmented policy optimization for different transient regions. Second, a stage-based guidance mechanism is introduced into the reward function to balance the agent’s exploration and stability, thereby improving the reliability of the policy. Finally, the action space is expanded from inertia–damping to the coordinated regulation of inertia, damping, and active power droop coefficient, achieving multi-parameter dynamic optimization. MATLAB/Simulink R2022b simulation results indicate that, compared with the traditional SAC-VSG and DDPG-VSG method, the proposed strategy can reduce the maximum frequency overshoot by up to 29.6% and shorten the settling time by approximately 15.6% under typical operating conditions such as load step changes and grid phase disturbances. It demonstrates superior frequency oscillation suppression capability and system robustness, verifying the effectiveness and application potential of the proposed method in high-penetration renewable energy power systems.
5	7f6f3574f70a39f8d379a0deaa044b7753b33803	2025	10.1109/ITSC60802.2025.11423053	RGDR: Reward-Guided Domain Randomization for Autonomous Driving	2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC)	JournalArticle	Autonomous vehicles must reliably operate in highly dynamic and unpredictable environments, which often diverge significantly from their training conditions. Domain randomization (DR) is a widely adopted approach to enhance generalization and robustness, particularly in zero-shot scenarios where the target deployment domain is unknown during training. However, conventional DR methods typically rely on uniform random sampling of environmental parameters, leading to imbalanced training that overfits simpler scenarios and underperforms in challenging, safety-critical situations. To address these limitations, we propose a Reward-Guided Domain Randomization (RGDR) framework that adaptively prioritizes informative and difficult environments based on realtime reward feedback from the reinforcement learning policy. Specifically, RGDR employs weighted kernel density estimation to assign higher sampling probabilities to environments yielding lower policy rewards, thereby effectively focusing training on regions critical for robustness. Importantly, the proposed method maintains linear or sublinear computational complexity, ensuring scalability to complex, high-dimensional, real-world tasks. Extensive experiments conducted on the OpenAI Gym and CARLA driving benchmarks validate the proposed RGDR framework, demonstrating superior policy robustness and significantly improved generalization to out-ofdistribution scenarios compared to both uniform and active domain randomization baselines. The source code is available at: https://github.com/scienceking/reward_guided_domain_randomization.
6	060afedf4a7fa4b3c237c5371cb24a439bdeb0a5	2025	10.48550/arXiv.2501.03884	AlphaPO - Reward shape matters for LLM alignment	arXiv.org	JournalArticle	
7	b832e6c60c2ed01109843b92d7b3fcd9cef4ae81	2025	10.1109/ACCESS.2025.3644393	AI-Driven Parameter Prediction for SiC Power MOSFETs Guard Ring Design	IEEE Access	JournalArticle	This work presents the development of a reinforcement learning (RL) framework for optimizing the multiple parameters for silicon carbide (SiC) MOSFET guard rings (GR) design. A custom environment was designed using process data, where the RL agents learn to predict key fabrication parameters of GR design – GR width, space, no. of GRs, along with ion-implantation dose and energies – impacting the breakdown voltage (BV) of the device. Proximal policy optimization (PPO) and advantage actor-critic (A2C) agents were implemented and evaluated for this work. Both agents have successfully predicted parameters for a 2.5kV SiC GR device based on technology computer-aided design (TCAD) simulated data from a 1.7kV design. The reward function was designed carefully to penalize high-dose selections and encourage parameter configurations yielding optimal BV with the same epitaxial layer thickness and with reduced area. For training, both agents were using a network architecture with 3 hidden layers, each with 64 neurons. The proposed method is practical and efficient, and integrates AI with conventional approaches by reducing computational costs while maintaining accuracy. By leveraging AI on TCAD data, this approach accelerates device design exploration and significantly shortens product development cycles. This work highlights RL’s potential in process optimization for advanced semiconductor design.
8	29faaa407067737a8b93aa4d5dd820508ac56a0e	2026	10.3390/su18104882	Green Recycling Decisions for End-of-Life Photovoltaic Modules Under Government Reward and Penalty Policies	Sustainability	JournalArticle	Recycling end-of-life (EoL) photovoltaic (PV) modules is essential for resource recovery and pollution mitigation, yet weak incentives and non-standardized treatment continue to hinder the development of formal recycling systems. This paper develops a tripartite evolutionary game model involving the government, PV power generators, and third-party recyclers under a reward–penalty policy mechanism. Replicator dynamic equations, Jacobian stability analysis, and MATLAB R2023b (MathWorks, Natick, MA, USA) simulations are used to examine strategic interactions and evolutionary paths. The results show that: (1) under the baseline parameter setting, the system converges to a unique evolutionary stable strategy, (0, 1, 1), namely no government regulation, generator recycling, and recycler green technology innovation; (2) variations in initial strategy probabilities affect convergence speed but do not change the final equilibrium; (3) under the same total reward expenditure, increasing rewards to generators drives the system toward the desirable equilibrium faster than allocating the same amount mainly to recyclers; and (4) penalty policies also promote compliance, but their marginal effect is weaker than that of reward-based incentives. These findings suggest that appropriately designed incentives can accelerate generator recycling and recycler green innovation, while the government’s role may gradually shift from direct intervention to supervision and coordination.
9	e588d66d16623cc6d1ca007a179bb084ba1fb83b	2021	10.1109/ICRA48506.2021.9561799	Zero-shot Policy Learning with Spatial Temporal Reward Decomposition on Contingency-aware Observation	IEEE International Conference on Robotics and Automation	JournalArticle	It is a long-standing challenge to enable an intelligent agent to learn in one environment and generalize to an unseen environment without further data collection and finetuning. In this paper, we consider a zero shot generalization problem setup that complies with biological intelligent agents’ learning and generalization processes. The agent is first presented with previous experiences in the training environment, along with task description in the form of trajectory-level sparse rewards. Later when it is placed in the new testing environment, it is asked to perform the task without any interaction with the testing environment. We find this setting natural for biological creatures and at the same time, challenging for previous methods. Behavior cloning, state-of-art RL along with other zero-shot learning methods perform poorly on this benchmark. Given a set of experiences in the training environment, our method learns a neural function that decomposes the sparse reward into particular regions in a contingency-aware observation as a per step reward. Based on such decomposed rewards, we further learn a dynamics model and use Model Predictive Control (MPC) to obtain a policy. Since the rewards are decomposed to finer-granularity observations, they are naturally generalizable to new environments that are composed of similar basic elements. We demonstrate our method on a wide range of environments, including a classic video game – Super Mario Bros, as well as a robotic continuous control task. Please refer to the project page for more visualized results.1
10	983491abda3b0fa1a04d292e81b9b8df5b70c4c8	2024	10.1016/j.neurom.2024.03.004	A Low-Intensity Transcranial Focused Ultrasound Parameter Exploration Study of the Ventral Capsule/Ventral Striatum.	Neuromodulation (Malden, Mass.)	JournalArticle	"OBJECTIVES
Deep brain stimulation (DBS) of the ventral capsule/ventral striatum (VC/VS) is effective for treatment-resistant obsessive-compulsive disorder (OCD); however, DBS is associated with neurosurgical risks. Transcranial focused ultrasound (tFUS) is a newer form of noninvasive (ie, nonsurgical) stimulation that can modulate deeper regions, such as the VC/VS. tFUS parameters have just begun to be studied and have often not been compared in the same participants. We explored the effects of three VC/VS tFUS protocols and an entorhinal cortex (ErC) tFUS session on the VC/VS and cortico-striato-thalamo-cortical circuit (CSTC) in healthy individuals for later application to patients with OCD.


MATERIALS AND METHODS
Twelve individuals participated in a total of 48 sessions of tFUS in this exploratory multisite, within-subject parameter study. We collected resting-state, reward task, and arterial spin-labeled (ASL) magnetic resonance imaging scans before and after ErC tFUS and three VC/VS tFUS sessions with different pulse repetition frequencies (PRFs), pulse widths (PWs), and duty cycles (DCs).


RESULTS
VC/VS protocol A (PRF = 10 Hz, PW = 5 ms, 5% DC) was associated with increased putamen activation during a reward task (p = 0.003), and increased VC/VS resting-state functional connectivity (rsFC) with the anterior cingulate cortex (p = 0.022) and orbitofrontal cortex (p = 0.004). VC/VS protocol C (PRF = 125 Hz, PW = 4 ms, 50% DC) was associated with decreased VC/VS rsFC with the putamen (p = 0.017), and increased VC/VS rsFC with the globus pallidus (p = 0.008). VC/VS protocol B (PRF = 125 Hz, PW = 0.4 ms, 5% DC) was not associated with changes in task-related CSTC activation or rsFC. None of the protocols affected CSTC ASL perfusion.


CONCLUSIONS
This study began to explore the multidimensional parameter space of an emerging form of noninvasive brain stimulation, tFUS. Our preliminary findings in a small sample suggest that VC/VS tFUS should continue to be investigated for future noninvasive treatment of OCD."
