rank	source_id	year	doi	title	venue	type
1	2f31131724abb42b01a97aee27d9a8b3aaae747f	2026		Solving First-Order Fixed-Point Logics via a Least-to-Greatest Transformation Based on Game Semantics		
2	97c6d8adf0984e34d8d6b55f2fdda8162d438590	2025	10.48550/arXiv.2508.12572	Reachability is Decidable for ATM-Typable Finitary PCF with Effect Handlers	Asian Symposium on Programming Languages and Systems	JournalArticle
3	5d1c352e921a4ff5f4a98cf7bd0f2838ed5bb99e	2025	10.1145/3729333	Thrust: A Prophecy-Based Refinement Type System for Rust	Proc. ACM Program. Lang.	JournalArticle
4	0a74dec52ac1e79dfb5ff06bc0a30a329bbaac6d	2024	10.1145/3674662	Automated Verification of Higher-Order Probabilistic Programs via a Dependent Refinement Type System	Proc. ACM Program. Lang.	JournalArticle
5	720ad4853907126c7fdcd16cea442cec1cace833	2023	10.1145/3607831	Higher-Order Property-Directed Reachability	Proc. ACM Program. Lang.	JournalArticle
6	a7ace22b044a94c8ea5c4b9c478a53ea796df246	2023	10.1145/3633280	Answer Refinement Modification: Refinement Type System for Algebraic Effects and Handlers	Proc. ACM Program. Lang.	JournalArticle
7	32558b964c962812ac79ba6f0c09fb473fcbf7ee	2023	10.1145/3571199	HFL(Z) Validity Checking for Automated Program Verification	Proc. ACM Program. Lang.	JournalArticle
8	68843900a0823bf49f21b5e325289adee16f0e55	2022	10.48550/arXiv.2203.07601	Automatic HFL(Z) Validity Checking for Program Verification	arXiv.org	JournalArticle
9	b1e0a890833a0b0593722d106eb438d7f876271e	2021	10.4204/EPTCS.344.1	An Overview of the HFL Model Checking Project	HCVS@ETAPS	JournalArticle
10	9dc90de7af90a59004a9ca3d2d9fd1aa03487344	2021	10.4230/LIPIcs.ECOOP.2021.18	Refinements of Futures Past: Higher-Order Specification with Implicit Refinement Types (Extended Version)	European Conference on Object-Oriented Programming	JournalArticle
11	ed9e931d5562347af4ab40876c8ce512547170b8	2021	10.1049/CDT2.12024	Modelling and verification of parameterized architectures: A functional approach	IET Computers & Digital Techniques	JournalArticle
12	417c623034a9b4673e40166cf4d94cc167dbe58a	2020	10.1145/3434300	Data flow refinement type inference	Proc. ACM Program. Lang.	JournalArticle
13	48b57824c2148085c3487560aceff8d22be51ded	2019	10.15514/ispras-2019-31(5)-3	Automatic verification of heap-manipulating programs	Proceedings of the Institute for System Programming of RAS	JournalArticle
