key	status	code	year	title	stage	contribution	evidence	setting	priority
arxiv:2005.06601	included		2020	Unlocking the Power of Deep PICO Extraction: Step-wise Medical NER Id…	extract	method	benchmark	med	medium
arxiv:2112.05596	included		2021	Automated tabulation of clinical trial results: A joint entity and re…	extract	method	benchmark	med	medium
arxiv:2306.14905	included		2023	PRISMA-DFLLM: An Extension of PRISMA for Systematic Literature Review…	end2end	method	none	general	medium
arxiv:2308.06610	included		2023	Bio-SIEVE: Exploring Instruction Tuning Large Language Models for Sys…	screen	method	benchmark	med	medium
arxiv:2311.07918	included		2023	Automated title and abstract screening for scoping reviews using the…	screen	system	human-agree	general	medium
arxiv:2311.12474	included		2023	CSMeD: Bridging the Dataset Gap in Automated Citation Screening for S…	screen	evaluation	benchmark	med	medium
arxiv:2403.02574	included		2024	ChatCite: LLM Agent with Human Workflow Guidance for Comparative Lite…	synthesize	method	none	general	medium
arxiv:2403.08399	included		2024	System for systematic literature review using multiple AI agents: Con…	end2end	system	benchmark	general	medium
arxiv:2405.14445	included		2024	Exploring the use of a Large Language Model for data extraction in sy…	extract	evaluation	human-agree	general	medium
arxiv:2408.04646	included		2024	Efficacy of Large Language Models in Systematic Reviews	end2end	evaluation	human-agree	general	medium
arxiv:2409.04600	included		2024	The emergence of Large Language Models (LLM) as a tool in literature…	meta	evaluation	none	med	medium
arxiv:2411.06159	included		2024	Mixture of Knowledge Minigraph Agents for Literature Review Generation	synthesize	method	none	general	medium
arxiv:2412.15247	included		2024	Streamlining Systematic Reviews: A Novel Application of Large Languag…	screen	system	human-agree	med	medium
arxiv:2501.05468	included		2025	LatteReview: A Multi-Agent Framework for Systematic Review Automation…	end2end	system	benchmark	general	medium
arxiv:2501.19359	included		2025	Mechanical Properties of the Meninges: Large Language Model Assisted…	screen	evaluation	none	general	medium
arxiv:2502.14767	included		2025	Tree-of-Debate: Multi-Persona Debate Trees Elicit Critical Thinking f…	appraise	method	none	general	medium
arxiv:2502.15702	included		2025	Large language models streamline automated systematic review: A preli…	end2end	evaluation	human-agree	med	medium
arxiv:2503.13857	included		2025	Enabling Inclusive Systematic Reviews: Incorporating Preprint Article…	appraise	method	benchmark	med	medium
arxiv:2504.08752	included		2025	Patience is all you need! An agentic system for performing scientific…	end2end	system	none	general	medium
arxiv:2504.14822	included		2025	Completing A Systematic Review in Hours instead of Months with Intera…	end2end	system	none	med	medium
arxiv:2504.20276	included		2025	Enhancing Systematic Reviews with Large Language Models: Using GPT-4…	extract	evaluation	human-agree	general	medium
arxiv:2505.07155	included		2025	Reassessing Large Language Model Boolean Query Generation for Systema…	search	evaluation	benchmark	general	medium
arxiv:2505.20310	included		2025	Manalyzer: End-to-end Automated Meta-analysis with Multi-agent System	end2end	system	none	general	medium
arxiv:2505.22787	included		2025	Can Large Language Models Match the Conclusions of Systematic Reviews?	synthesize	evaluation	human-agree	med	medium
arxiv:2505.24757	included		2025	LGAR: Zero-Shot LLM-Guided Neural Ranking for Abstract Screening in S…	screen	method	none	general	medium
arxiv:2508.12170	included		2025	Energy Efficiency in Robotics Software: A Systematic Literature Revie…	report	evaluation	none	se	medium
arxiv:2510.05138	included		2025	LiRA: A Multi-Agent Framework for Reliable and Readable Literature Re…	synthesize	system	none	general	medium
arxiv:2510.16091	included		2025	Evaluating Prompting Strategies and Large Language Models in Systemat…	screen	evaluation	benchmark	general	medium
arxiv:2511.17689	included		2025	ARISE: Agentic Rubric-Guided Iterative Survey Engine for Automated Sc…	report	system	none	general	medium
arxiv:2512.20022	included		2025	LLM-Assisted Abstract Screening with OLIVER: Evaluating Calibration a…	screen	system	benchmark	general	medium
arxiv:2602.00011	included		2025	Chained Prompting for Better Systematic Review Search Strategies	search	method	none	general	medium
arxiv:2603.22327	included		2026	Evaluating AI-based Scientific Knowledge Synthesis with Epidemiologic…	meta	evaluation	human-agree	med	medium
arxiv:2603.24767	included		2026	Fine-Tuning A Large Language Model for Systematic Review Screening	screen	method	benchmark	general	medium
arxiv:2603.28336	included		2026	A Multi-Agent Rhizomatic Pipeline for Non-Linear Literature Analysis	end2end	system	none	general	medium
arxiv:2604.01452	included		2026	A Multi-Agent Human-LLM Collaborative Framework for Closed-Loop Scien…	synthesize	system	none	general	medium
arxiv:2605.15245	included		2026	Assistance to Autonomy: A Systematic Literature Review of Agentic AI…	report	evaluation	none	se	medium
arxiv:2606.28363	included		2026	meta-pipe: An LLM-agent pipeline for end-to-end automated systematic…	end2end	system	none	med	medium
arxiv:2607.05031	deep-read		2026	LLM-Based Test Oracles: Source-of-Authority Taxonomy -- A Systematic…	screen	evaluation	human-agree	se	high
doi:10.1001/jamanetworkopen.2024.20496	included		2024	Performance of a Large Language Model in Screening Citations	screen	evaluation	human-agree	med	medium
doi:10.1002/cesm.12021	included		2023	Machine learning for accelerating screening in evidence reviews	screen	position	none	med	medium
doi:10.1002/cesm.12041	included		2024	The use of a large language model to create plain language summaries…	report	evaluation	human-agree	med	medium
doi:10.1002/cesm.70031	included		2025	Using GPT‐4 for Title and Abstract Screening in a Literature Review o…	screen	evaluation	human-agree	general	medium
doi:10.1002/cesm.70033	included		2025	Data Extractions Using a Large Language Model (Elicit) and Human Revi…	extract	evaluation	human-agree	med	medium
doi:10.1002/cesm.70036	included		2025	Using Artificial Intelligence Tools as Second Reviewers for Data Extr…	extract	evaluation	human-agree	med	medium
doi:10.1002/cesm.70042	included		2025	Enhancing Evidence Synthesis Efficiency: Leveraging Large Language Mo…	screen	system	human-agree	med	medium
doi:10.1002/cesm.70046	included		2025	Artificial Intelligence and Automation in Evidence Synthesis: An Inve…	meta	evaluation	none	general	medium
doi:10.1002/cesm.70047	included		2025	Leveraging AI for Meta‐Analysis: Evaluating LLMs in Detecting Publica…	appraise	evaluation	benchmark	med	medium
doi:10.1002/cesm.70048	included		2025	Using a Large Language Model (ChatGPT‐4o) to Assess the Risk of Bias…	appraise	evaluation	human-agree	med	medium
doi:10.1002/cesm.70050	included		2025	Comparison of Elicit AI and Traditional Literature Searching in Evide…	search	evaluation	human-agree	med	medium
doi:10.1002/cesm.70058	included		2025	Harnessing Large‐Language Models for Efficient Data Extraction in Sys…	extract	method	human-agree	med	medium
doi:10.1002/cesm.70061	included		2025	Assessing the Feasibility and Acceptability of a Bespoke Large Langua…	extract	evaluation	human-agree	med	medium
doi:10.1002/cesm.70063	deep-read		2025	Responsible Integration of Artificial Intelligence in Rapid Reviews:…	meta	guideline	none	med	high
