rank	source_id	year	doi	title	venue	type
1	citation-1	2013	10.48550/arXiv.1312.5602	Playing Atari with Deep Reinforcement Learning	arXiv	preprint
2	citation-2	2013	-	Stable Adaptive Neural Network Control	Springer	book
3	citation-3	2015	10.1038/nature14539	Deep Learning	Nature	journal-article
4	citation-4	2016	10.1109/JAS.2016.7471613	Where Does AlphaGo Go: From Church-Turing Thesis to AlphaGo Thesis and Beyond	IEEE CAA Journal of Automatica Sinica	journal-article
5	citation-5	2014	10.1109/CVPR.2014.220	DeepFace: Closing the Gap to Human-Level Performance in Face Verification	CVPR	proceedings-article
6	citation-6	2016	10.1038/nature16961	Mastering the Game of Go with Deep Neural Networks and Tree Search	Nature	journal-article
7	citation-7	2017	10.48550/arXiv.1702.02284	Adversarial Attacks on Neural Network Policies	arXiv	preprint
8	citation-8	2020	10.1109/MEMOCODE51338.2020.9315068	Robustness Contracts for Scalable Verification of Neural Network-Enabled Cyber-Physical Systems	MEMOCODE	proceedings-article
9	citation-9	2021	-	Fast and Complete: Enabling Complete Neural Network Verification with Rapid and Massively Parallel Incomplete Verifiers	ICLR	proceedings-article
10	citation-10	2021	-	Beta-CROWN: Efficient Bound Propagation with Per-Neuron Split Constraints for Complete and Incomplete Neural Network Verification	NeurIPS	proceedings-article
11	citation-11	2015	10.48550/arXiv.1503.02531	Distilling the Knowledge in a Neural Network	arXiv	preprint
12	citation-12	2022	10.1109/ALLERTON49937.2022.9929410	Practical Control Design for the Deep Learning Age: Distillation of Deep RL-Based Controllers	Allerton	proceedings-article
13	citation-13	2014	-	Do Deep Nets Really Need to be Deep?	NeurIPS	proceedings-article
14	citation-14	2018	-	Verifiable Reinforcement Learning via Policy Extraction	NeurIPS	proceedings-article
15	citation-15	2016	10.48550/arXiv.1606.01540	OpenAI Gym	arXiv	preprint
16	citation-16	2023	10.1109/CDC49753.2023.10383761	Exact and Cost-Effective Automated Transformation of Neural Network Controllers to Decision Tree Controllers	CDC	proceedings-article
17	citation-17	2011	-	A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning	AISTATS	proceedings-article
18	citation-18	2017	10.48550/arXiv.1711.09784	Distilling a Neural Network Into a Soft Decision Tree	arXiv	preprint
19	citation-19	2019	10.48550/arXiv.1909.13488	Oblique Decision Trees from Derivatives of ReLU Networks	arXiv	preprint
20	citation-20	2020	10.48550/arXiv.2011.04041	Unwrapping the Black Box of Deep ReLU Networks: Interpretability, Diagnostics, and Simplification	arXiv	preprint
21	citation-21	2020	10.48550/arXiv.2003.04675	Towards Interpretable ANNs: An Exact Transformation to Multi-Class Multivariate Decision Trees	arXiv	preprint
22	citation-22	2012	10.1109/ICPR.2012.450	Soft Decision Trees	ICPR	proceedings-article
23	citation-23	2021	10.1109/CDC45484.2021.9683477	Bounding the Complexity of Formally Verifying Neural Networks: A Geometric Approach	CDC	proceedings-article
24	citation-24	2018	10.1007/978-3-319-10575-8_11	Satisfiability Modulo Theories	Handbook of Model Checking	book-chapter
25	citation-25	2009	-	Bounded Model Checking	Handbook of Satisfiability	book-chapter
26	citation-26	2023	10.1109/ICRA48891.2023.10160942	One-Shot Reachability Analysis of Neural Network Dynamical Systems	ICRA	proceedings-article
27	citation-27	1990	10.48456/tr-209	Efficient Memory-Based Learning for Robot Control	University of Cambridge	technical-report
28	citation-28	2024	10.1109/SPIN60856.2024.10511790	Empirical Study of Deep Reinforcement Learning Algorithms for CartPole Problem	SPIN	proceedings-article
29	citation-29	2021	-	Stable-Baselines3: Reliable Reinforcement Learning Implementations	Journal of Machine Learning Research	journal-article
30	citation-30	2018	10.1109/JPROC.2018.2801288	SMC: Satisfiability Modulo Convex Programming	Proceedings of the IEEE	journal-article
31	citation-31	2008	10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	TACAS	book-chapter
32	citation-32	2019	-	What's New in Gurobi 9.0	Gurobi	software-documentation
