rank	source_id	year	doi	title	venue	type
1	10.1145/3360550	2019	10.1145/3360550	Value-centric Dynamic Partial Order Reduction	Proceedings Of The ACM On Programming Languages	journal article
2	10.1007/978-3-030-50995-8_7	2020	10.1007/978-3-030-50995-8_7	Testing For Race Conditions In Distributed Systems Via SMT Solving	Tests And Proofs	book chapter
3	10.1145/2786805.2786840	2015	10.1145/2786805.2786840	Finding Schedule-Sensitive Branches	Proceedings Of The 2015 10Th Joint Meeting On Foundations Of Software Engineering	proceedings article
4	10.1145/3238147.3238223	2018	10.1145/3238147.3238223	Scheduling Constraint Based Abstraction Refinement For Weak Memory Models	Proceedings Of The 33Rd ACM/IEEE International Conference On Automated Software Engineering	proceedings article
5	10.1145/3360599	2019	10.1145/3360599	Effective Lock Handling In Stateless Model Checking	Proceedings Of The ACM On Programming Languages	journal article
6	10.1145/3158119	2018	10.1145/3158119	Data-centric Dynamic Partial Order Reduction	Proceedings Of The ACM On Programming Languages	journal article
7	10.1145/2983990.2984024	2016	10.1145/2983990.2984024	Precise And Maximal Race Detection From Incomplete Traces	Proceedings Of The 2016 ACM SIGPLAN International Conference On Object-Oriented Programming, Systems, Languages, And Applications	proceedings article
8	10.1145/3276516	2018	10.1145/3276516	Sound Deadlock Prediction	Proceedings Of The ACM On Programming Languages	journal article
9	10.1007/978-3-319-63121-9_26	2017	10.1007/978-3-319-63121-9_26	Comparing Source Sets And Persistent Sets For Partial Order Reduction	Models, Algorithms, Logics And Tools	book chapter
10	10.1109/icse.2019.00095	2015	10.1109/icse.2019.00095	Finding Schedule-Sensitive Branches	Proceedings Of The 2015 10Th Joint Meeting On Foundations Of Software Engineering	proceedings article
11	10.1145/2950290.2950332	2016	10.1145/2950290.2950332	ECHO: Instantaneous In Situ Race Detection In The IDE	Proceedings Of The 2016 24Th ACM SIGSOFT International Symposium On Foundations Of Software Engineering	proceedings article
12	10.1145/3453483.3454108	2021	10.1145/3453483.3454108	Satisfiability Modulo Ordering Consistency Theory For Multi-Threaded Program Verification	Proceedings Of The 42Nd ACM SIGPLAN International Conference On Programming Language Design And Implementation	proceedings article
13	10.1007/s11704-016-6192-0	2018	10.1007/s11704-016-6192-0	The Role Of Model Checking In Software Engineering	Frontiers Of Computer Science	journal article
14	10.1145/3192366.3192385	2018	10.1145/3192366.3192385	High-coverage, Unbounded Sound Predictive Race Detection	Proceedings Of The 39Th ACM SIGPLAN Conference On Programming Language Design And Implementation	proceedings article
15	10.1145/2983990.2984036	2016	10.1145/2983990.2984036	Stateless Model Checking With Data-Race Preemption Points	Proceedings Of The 2016 ACM SIGPLAN International Conference On Object-Oriented Programming, Systems, Languages, And Applications	proceedings article
16	omid:br/06022992535	2023		McMini: A Programmable DPOR-Based Model Checker For Multithreaded Programs	The Art, Science, And Engineering Of Programming, 2024, Vol. 8, Issue 1, Article 1	journal article
17	10.1007/978-3-030-81685-8_16	2021	10.1007/978-3-030-81685-8_16	Stateless Model Checking Under A Reads-Value-From Equivalence	Computer Aided Verification	book chapter
18	10.1109/iceccs.2019.00021	2019	10.1109/iceccs.2019.00021	Adaptive Randomized Scheduling For Concurrency Bug Detection	2019 24Th International Conference On Engineering Of Complex Computer Systems (ICECCS)	proceedings article
19	10.1145/2983990.2984025	2016	10.1145/2983990.2984025	Maximal Causality Reduction For TSO And PSO	Proceedings Of The 2016 ACM SIGPLAN International Conference On Object-Oriented Programming, Systems, Languages, And Applications	proceedings article
20	10.1145/3158105	2018	10.1145/3158105	Effective Stateless Model Checking For C/C++ Concurrency	Proceedings Of The ACM On Programming Languages	journal article
21	10.1109/icst53961.2022.00049	2022	10.1109/icst53961.2022.00049	SIFT: A Tool For Property Directed Symbolic Execution Of Multithreaded Software	2022 IEEE Conference On Software Testing, Verification And Validation (ICST)	proceedings article
22	10.1007/978-3-030-72019-3_1	2021	10.1007/978-3-030-72019-3_1	The Decidability Of Verification Under PS 2.0	Programming Languages And Systems	book chapter
23	10.1145/3445814.3446756	2021	10.1145/3445814.3446756	Automatically Detecting And Fixing Concurrency Bugs In Go Software Systems	Proceedings Of The 26Th ACM International Conference On Architectural Support For Programming Languages And Operating Systems	proceedings article
24	10.1145/3022671.2984025	2016	10.1145/3022671.2984025	Maximal Causality Reduction For TSO And PSO	ACM SIGPLAN Notices	journal article
25	10.1145/3360576	2019	10.1145/3360576	Optimal Stateless Model Checking For Reads-From Equivalence Under Sequential Consistency	Proceedings Of The ACM On Programming Languages	journal article
26	10.1007/s00236-016-0275-0	2016	10.1007/s00236-016-0275-0	Stateless Model Checking For TSO And PSO	Acta Informatica	journal article
27	10.1145/2858651	2016	10.1145/2858651	Concurrency Testing Using Controlled Schedulers	ACM Transactions On Parallel Computing	journal article
28	10.1145/3236024.3236077	2018	10.1145/3236024.3236077	Testing Multithreaded Programs Via Thread Speed Control	Proceedings Of The 2018 26Th ACM Joint Meeting On European Software Engineering Conference And Symposium On The Foundations Of Software Engineering	proceedings article
29	10.1007/978-3-030-41418-4_4	2020	10.1007/978-3-030-41418-4_4	A Divide & Conquer Approach To Testing Concurrent Java Programs With JPF And Maude	Structured Object-Oriented Formal Language And Method	book chapter
30	10.1007/978-3-031-65630-9_2	2022	10.1007/978-3-031-65630-9_2	SIFT: A Tool For Property Directed Symbolic Execution Of Multithreaded Software	2022 IEEE Conference On Software Testing, Verification And Validation (ICST)	proceedings article
31	10.1145/3022671.2984024	2016	10.1145/3022671.2984024	Precise And Maximal Race Detection From Incomplete Traces	ACM SIGPLAN Notices	journal article
32	10.1109/tse.2018.2864122	2020	10.1109/tse.2018.2864122	On Scheduling Constraint Abstraction For Multi-Threaded Program Verification	IEEE Transactions On Pattern Analysis And Machine Intelligence	journal article
33	10.1145/2814270.2814297	2015	10.1145/2814270.2814297	SATCheck: SAT-directed Stateless Model Checking For SC And TSO	Proceedings Of The 2015 ACM SIGPLAN International Conference On Object-Oriented Programming, Systems, Languages, And Applications	proceedings article
34	10.1145/3373376.3378480	2020	10.1145/3373376.3378480	Hmc	Proceedings Of The Twenty-Fifth International Conference On Architectural Support For Programming Languages And Operating Systems	proceedings article
35	10.1007/978-3-031-30823-9_5	2023	10.1007/978-3-031-30823-9_5	Reconciling Preemption Bounding With DPOR	Tools And Algorithms For The Construction And Analysis Of Systems	book chapter
36	10.1145/2983990.2984040	2016	10.1145/2983990.2984040	Directed Synthesis Of Failing Concurrent Executions	Proceedings Of The 2016 ACM SIGPLAN International Conference On Object-Oriented Programming, Systems, Languages, And Applications	proceedings article
37	10.1145/3503222.3507753	2022	10.1145/3503222.3507753	Who Goes First? Detecting Go Concurrency Bugs Via Message Reordering	Proceedings Of The 27Th ACM International Conference On Architectural Support For Programming Languages And Operating Systems	proceedings article
38	10.1145/3503221.3508424	2022	10.1145/3503221.3508424	Interference Relation-Guided SMT Solving For Multi-Threaded Program Verification	Proceedings Of The 27Th ACM SIGPLAN Symposium On Principles And Practice Of Parallel Programming	proceedings article
39	10.1145/3314221.3314609	2019	10.1145/3314221.3314609	Model Checking For Weakly Consistent Libraries	Proceedings Of The 40Th ACM SIGPLAN Conference On Programming Language Design And Implementation	proceedings article
40	10.1109/icse.2019.00074	2022	10.1109/icse.2019.00074	Who Goes First? Detecting Go Concurrency Bugs Via Message Reordering	Proceedings Of The 27Th ACM International Conference On Architectural Support For Programming Languages And Operating Systems	proceedings article
41	10.1145/2858965.2814297	2015	10.1145/2858965.2814297	SATCheck: SAT-directed Stateless Model Checking For SC And TSO	ACM SIGPLAN Notices	journal article
42	10.1109/tase.2017.8285629	2017	10.1109/tase.2017.8285629	Assembly Program Verification For Multiprocessors With Relaxed Memory Model Using SMT Solver	2017 International Symposium On Theoretical Aspects Of Software Engineering (TASE)	proceedings article
43	10.1145/2851141.2851149	2016	10.1145/2851141.2851149	Production-guided Concurrency Debugging	Proceedings Of The 21St ACM SIGPLAN Symposium On Principles And Practice Of Parallel Programming	proceedings article
44	10.1109/dsn.2018.00037	2018	10.1109/dsn.2018.00037	Branching Bisimulation And Concurrent Object Verification	2018 48Th Annual IEEE/IFIP International Conference On Dependable Systems And Networks (DSN)	proceedings article
45	10.1145/3276505	2018	10.1145/3276505	Optimal Stateless Model Checking Under The Release-Acquire Semantics	Proceedings Of The ACM On Programming Languages	journal article
