key	decision	via	year	title	rationale
arxiv:2605.26340	E1	adjudicated	2026	ScientistOne: Towards Human-Level Autonomous Research via Chain-of-Evidence	autonomous primary-research agent; verifiability of own outputs, not evidence synthesis
doi:10.06155v3	E1	adjudicated	2023	CoQuest: Exploring Research Question Co-Creation with an LLM-based Agent	RQ co-creation for primary research (borderline: planning-stage adjacent)
doi:10.1093/jamia/ocae072	E1	adjudicated	2024	Large language models facilitate the generation of electronic health record phenotyping al	LLM generates phenotyping algorithms; literature synthesis is input, product is clinical artifact
doi:10.1109/icosst69113.2025.11315415	E1	adjudicated	2025	LLM-Agent Powered Automated Literature Review and Hypothesis Generation for Cancer Biomark	discovery pipeline; literature monitoring feeds hypothesis generation (borderline)
arxiv:2408.02248	E2	adjudicated	2024	ReDel: A Toolkit for LLM-Powered Recursive Multi-Agent Systems	generic recursive multi-agent toolkit; review compilation only an example
arxiv:2502.07960	E2	adjudicated	2025	Accelerating Scientific Research Through a Multi-LLM Framework	general research-workflow accelerator; no secondary-study framing
arxiv:2506.07583	E2	adjudicated	2025	Beyond the Sentence: A Survey on Context-Aware Machine Translation with Large Language Mod	NLP domain survey
arxiv:2512.01693	E2	adjudicated	2025	LitMOF: An LLM Multi-Agent for Literature-Validated Metal-Organic Frameworks Database Corr	literature mining for materials database curation, not evidence synthesis
arxiv:2604.22861	E2	adjudicated	2026	IntrAgent: An LLM Agent for Content-Grounded Information Retrieval through Literature Revi	generic IR-from-literature task framing (borderline: extraction-adjacent)
doi:10.1002/cesm.70060/v1/review1	E2	adjudicated	2025	Review for "Using Large Language Models to Address Contextual Questions in Systematic Revi	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/cesm.70060/v1/review2	E2	adjudicated	2025	Review for "Using Large Language Models to Address Contextual Questions in Systematic Revi	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/cesm.70060/v1/review3	E2	adjudicated	2025	Review for "Using Large Language Models to Address Contextual Questions in Systematic Revi	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/eng2.70365/v1/decision1	E2	adjudicated	2025	Decision letter for "Systematic Literature Review of LLM‐Large Language Model in Medical: 	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/eng2.70365/v1/review1	E2	adjudicated	2025	Review for "Systematic Literature Review of LLM‐Large Language Model in Medical: Digital H	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/eng2.70365/v1/review2	E2	adjudicated	2025	Review for "Systematic Literature Review of LLM‐Large Language Model in Medical: Digital H	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/eng2.70365/v2/decision1	E2	adjudicated	2025	Decision letter for "Systematic Literature Review of LLM‐Large Language Model in Medical: 	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/eng2.70365/v2/review1	E2	adjudicated	2025	Review for "Systematic Literature Review of LLM‐Large Language Model in Medical: Digital H	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1002/eng2.70365/v2/review2	E2	adjudicated	2025	Review for "Systematic Literature Review of LLM‐Large Language Model in Medical: Digital H	peer-review record or decision letter, not a study (protocol gap: no doc-type code; using E2, see decisions/0003)
doi:10.1007/s10439-023-03284-0	E2	adjudicated	2023	ChatGPT, Bard, and Large Language Models for Biomedical Research: Opportunities and Pitfal	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.enbuild.2024.114788	E2	adjudicated	2024	Advancing building energy modeling with large language models: Exploration and case studie	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.jacr.2025.10.005	E2	adjudicated	2025	Use of Large Language Models on Radiology Reports: A Scoping Review	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.jad.2024.11.052	E2	adjudicated	2024	Exploring the efficacy and potential of large language models for depression: A systematic	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.rcim.2024.102883	E2	adjudicated	2024	A survey on potentials, pathways and challenges of large language models in new-generation	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.rcim.2025.102982	E2	adjudicated	2025	Integrating large language model and digital twins in the context of industry 5.0: Framewo	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.rser.2025.115558	E2	adjudicated	2025	Opportunities of applying Large Language Models in building energy sector	no-abstract domain-topic work; conventionally out of scope
doi:10.1016/j.sapharm.2023.05.016	E2	adjudicated	2023	The emergent role of artificial intelligence, natural learning processing, and large langu	no-abstract domain-topic work; conventionally out of scope
doi:10.1109/iccae59995.2024.10569797	E2	adjudicated	2024	Ethical Judgment using Large Language Model	no-abstract domain-topic work; conventionally out of scope
doi:10.2196/preprints.52600	E2	adjudicated	2023	The Application Potential of Large Language Model in the Management for Diabetic Ketoacido	clinical application review
doi:10.22260/isarc2026/0172	E2	adjudicated	2026	Domain-specific Large Language Model Pretraining for Construction Specification Review	no-abstract domain-topic work; conventionally out of scope
doi:10.30574/wjarr.2025.26.2.1665	E2	adjudicated	2025	Building an LLM Agent for Life Sciences Literature QA and Summarization	generic RAG literature QA/summarization
doi:10.1111/1742-6723.70148	E3	adjudicated	2025	The Role of Artificial Intelligence in Enabling Medical Research	commentary on AI in medical research; no methodological guidance
arxiv:2605.15245	I	adjudicated	2026	Assistance to Autonomy: A Systematic Literature Review of Agentic AI across the Software D	SLR describing its own multi-agent LLM screening pipeline; application exemplar
arxiv:2607.05031	I	adjudicated	2026	LLM-Based Test Oracles: Source-of-Authority Taxonomy -- A Systematic Literature Review	SLR reporting own LLM pre-filter with dual-human screening; application exemplar
doi:10.1371/journal.pone.0227742	E2	snowball+overturned	2020	Error rates of human reviewers during abstract screening in systematic reviews	Human reviewer error rates, not an AI/ML system
doi:10.1093/nar/gkab326	E2	snowball+overturned	2021	LitSuggest: a web-based system for literature recommendation and curation using machine le	Generic literature recommender, no SR-stage framing
doi:10.1186/s13643-021-01787-2	E2	snowball+overturned	2021	CogTale: an online platform for the evaluation, synthesis, and dissemination of evidence f	Evidence repository/dissemination platform, no AI/ML shown
doi:10.1007/978-3-030-85292-4_32	U	snowball+verify-U	2021	Natural Language Processing Applications in the Clinical Neurosciences: A Machine Learning	No abstract; scope unclear from title alone
doi:10.1109/camp51653.2021.9498061	E2	snowball+overturned	2021	Towards Automated Detection of Contradictory Research Claims in Medical Literature Using D	Generic biomedical claim-contradiction NLP, no SR framing
doi:10.1200/cci.21.00035	E2	snowball+overturned	2021	Adjuvant Tyrosine Kinase Inhibitors in Renal Cell Carcinoma: A Concluded Living Systematic	Domain clinical living review; automation an incidental detail
doi:10.1109/access.2021.3072900	E2	snowball+overturned	2021	Efficient Automated Processing of the Unstructured Documents Using Artificial Intelligence	Domain SLR about AI extraction techniques generally
doi:10.1186/s12911-021-01395-z	E2	snowball+overturned	2021	A clinical trials corpus annotated with UMLS entities to enhance the access to evidence-ba	Generic UMLS NER corpus, no review-stage automation framing
doi:10.1016/j.artmed.2021.102098	U	snowball+verify-U	2021	Enhancing evidence-based medicine with natural language argumentative analysis of clinical	Empty abstract; title ambiguous between argument mining and EBM
doi:10.3389/fpsyg.2022.830345	E2	snowball+overturned	2022	Inclusion of Clinicians in the Development and Evaluation of Clinical Artificial Intellige	SLR on clinician acceptance of AI tools, not review automation
doi:10.1080/00273171.2022.2115965	E2	snowball+overturned	2022	A Gentle Introduction to Bayesian Network Meta-Analysis Using an Automated R Package	Automated statistical R package, not AI/ML-based method
doi:10.1007/s00228-022-03329-8	U	snowball+verify-U	2022	Feasibility study and evaluation of expert opinion on the semi-automated meta-analysis and	Empty abstract; unclear if semi-automation is AI-based
doi:10.1016/j.nocx.2022.100103	E2	snowball+overturned	2022	Natural language processing-guided meta-analysis and structure factor database extraction 	NLP trend analysis of glass literature, not evidence synthesis
