rank	openalex_id	year	doi	title	venue	type
1	W2511206070	2016	https://doi.org/10.1145/2970276.2970322	On essential configuration complexity: measuring interactions in highly-configurable systems		conference-paper
2	W2795052548	2018	https://doi.org/10.1145/3180155.3180251	Chopped symbolic execution		conference-paper
3	W2954292831	2019	https://doi.org/10.1109/icse.2019.00082	Grey-Box Concolic Testing on Binary Code		conference-paper
4	W2758513221	2017	https://doi.org/10.1145/3106739	A Survey of Dynamic Analysis and Test Generation for JavaScript	ACM Computing Surveys	article
5	W2741376011	2017	https://doi.org/10.1145/3106237.3106283	Kmax: finding all configurations of Kbuild makefiles statically		conference-paper
6	W3194184668	2021	https://doi.org/10.1145/3468264.3468600	VarFix: balancing edit expressiveness and search effectiveness in automated program repair		conference-paper
7	W4402263908	2024	https://doi.org/10.1109/sp54263.2024.00121	Undefined-oriented Programming: Detecting and Chaining Prototype Pollution Gadgets in Node.js Template Engines for Malicious Consequences		conference-paper
8	W2604507227	2017	https://doi.org/10.1145/3038912.3052674	J-Force		conference-paper
9	W2642053679	2017	https://doi.org/10.1109/sp.2017.67	Your Exploit is Mine: Automatic Shellcode Transplant for Remote Exploits		conference-paper
10	W2471111208	2016	https://doi.org/10.1109/tse.2016.2584063	Dependence Guided Symbolic Execution	IEEE Transactions on Software Engineering	article
11	W2748788934	2017	https://doi.org/10.1145/3106741	Analysis of JavaScript Programs	ACM Computing Surveys	article
12	W3008890513	2020	https://doi.org/10.1016/j.cose.2020.101775	Optimizing symbolic execution for malware behavior classification	Computers & Security	article
13	W2580207986	2017	https://doi.org/10.1109/tse.2017.2659751	Eliminating Path Redundancy via Postconditioned Symbolic Execution	IEEE Transactions on Software Engineering	article
14	W4290048282	2018	https://doi.org/10.1145/3167132.3167289	Improving function coverage with munch		conference-paper
15	W2509308811	2016	https://doi.org/10.1145/2970276.2970281	MACKE: compositional analysis of low-level vulnerabilities with symbolic execution		conference-paper
16	W3090526726	2020	https://doi.org/10.1145/3377811.3380399	Quickly generating diverse valid test inputs with reinforcement learning		conference-paper
