rank	source_id	year	doi	title	venue	type
1	precursor-citation-1	1995		Formal Verification by Symbolic Evaluation of Partially-Ordered Trajectories	Formal Methods in System Design	article
2	precursor-citation-2	2005		An Industrially Effective Environment for Formal Hardware Verification	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	article
3	precursor-citation-3	2009		Replacing Testing with Formal Verification in Intel Core i7 Processor Execution Engine Validation	CAV 2009	proceedings-article
4	precursor-citation-4	2018		Symbolic Trajectory Evaluation	Handbook of Model Checking	book-chapter
5	precursor-citation-5	2022		Verification of Arithmetic and Datapath Circuits with Symbolic Simulation	Handbook of Computer Architecture	book-chapter
6	precursor-citation-6	2014		Formally Verifying Graphics FPU	FM 2014	proceedings-article
7	precursor-citation-7	2021		Intel AVX512-FP16 Architecture Specification, Revision 1.0	Intel	specification
8	precursor-citation-8	1986	10.1109/TC.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	article
9	precursor-citation-9	1999		Formal Verification Using Parametric Representations of Boolean Constraints	DAC 1999	proceedings-article
10	precursor-citation-10	2002		Symbolic Simulation Methods for Industrial Formal Verification	Springer	book
11	precursor-citation-11	1985		IEEE Standard for Binary Floating-Point Arithmetic	IEEE	standard
