rank	source_id	year	doi	title	venue	type
1	10.1145/1180405.1180445	2006	10.1145/1180405.1180445	EXE	Proceedings of the 13th ACM conference on Computer and communications security	proceedings-article
2	e_1_3_2_1_2_1	2008		KLEE: Unassisted and automatic generation of high-coverage tests for complex systems programs	Proceedings of the 8th USENIX Conference on Operating Systems Design and Implementation	reference
3	10.1145/351240.351266	2000	10.1145/351240.351266	QuickCheck	Proceedings of the fifth ACM SIGPLAN international conference on Functional programming	proceedings-article
4	e_1_3_2_1_4_1	1978		Soundness and completeness of an axiom system for program verification		reference
5	10.5555/1792734.1792766	2008	10.5555/1792734.1792766	Z3: An Efficient SMT Solver	Tools and Algorithms for the Construction and Analysis of Systems	reference
6	10.1145/1926385.1926410	2011	10.1145/1926385.1926410	Correct blame for contracts	Proceedings of the 38th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
7	10.1007/978-3-642-28869-2_11	2012	10.1007/978-3-642-28869-2_11	Complete Monitors for Behavioral Contracts	Lecture Notes in Computer Science	book-chapter
8	10.1145/581478.581484	2002	10.1145/581478.581484	Contracts for higher-order functions	Proceedings of the seventh ACM SIGPLAN international conference on Functional programming	proceedings-article
9	10.1145/1111037.1111059	2006	10.1145/1111037.1111059	Hybrid type checking	Conference record of the 33rd ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
10	e_1_3_2_1_10_1	2010		Reference: Racket	Technical report, PLT Inc.	reference
11	10.1145/512529.512531	2002	10.1145/512529.512531	Flow-sensitive type qualifiers	Proceedings of the ACM SIGPLAN 2002 conference on Programming language design and implementation	proceedings-article
12	10.1145/1065010.1065036	2005	10.1145/1065010.1065036	DART	Proceedings of the 2005 ACM SIGPLAN conference on Programming language design and implementation	proceedings-article
13	10.1145/1706299.1706341	2010	10.1145/1706299.1706341	Contracts made manifest	Proceedings of the 37th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
14	10.5555/1894386.1894395	2010	10.5555/1894386.1894395	Contract-Driven Testing of JavaScript Code	Objects, Models, Components, Patterns	reference
15	10.1007/11737414_15	2006	10.1007/11737414_15	Typed Contracts for Functional Programming	Lecture Notes in Computer Science	book-chapter
16	e_1_3_2_1_16_1	2015		Personal communication		reference
17	10.1007/978-3-642-14295-6_12	2010	10.1007/978-3-642-14295-6_12	Dsolve: Safety Verification via Liquid Types	Lecture Notes in Computer Science	book-chapter
18	10.1145/1869459.1869505	2010	10.1145/1869459.1869505	Random testing for higher-order, stateful programs	Proceedings of the ACM international conference on Object oriented programming systems languages and applications	proceedings-article
19	10.1145/1667048.1667051	2010	10.1145/1667048.1667051	Hybrid type checking	ACM Transactions on Programming Languages and Systems	journal-article
20	10.1145/2487241.2487246	2013	10.1145/2487241.2487246	Model Checking Higher-Order Programs	Journal of the ACM	journal-article
21	10.1145/1993498.1993525	2011	10.1145/1993498.1993525	Predicate abstraction and CEGAR for higher-order model checking	Proceedings of the 32nd ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
22	arxiv:1411.3967	2015		Relatively complete counterexamples for higher-order programs	CoRR	preprint
23	10.1145/2628136.2628156	2014	10.1145/2628136.2628156	Soft contract verification	Proceedings of the 19th ACM SIGPLAN international conference on Functional programming	proceedings-article
24	10.1145/1375581.1375602	2008	10.1145/1375581.1375602	Liquid types	Proceedings of the 29th ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
25	10.1016/0304-3975(93)90095-B	1993	10.1016/0304-3975(93)90095-B	A type-theoretical alternative to ISWIM, CUCH, OWHY	Theoretical Computer Science	journal-article
26	10.1007/978-3-662-46669-8_33	2015	10.1007/978-3-662-46669-8_33	Type Targeted Testing	Lecture Notes in Computer Science	book-chapter
27	10.1007/978-3-642-27694-1_21	2012	10.1007/978-3-642-27694-1_21	Typing the Numeric Tower	Lecture Notes in Computer Science	book-chapter
28	10.1145/1706299.1706315	2010	10.1145/1706299.1706315	Dependent types from counterexamples	Proceedings of the 37th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
29	10.1145/1863543.1863561	2010	10.1145/1863543.1863561	Logical types for untyped languages	Proceedings of the 15th ACM SIGPLAN international conference on Functional programming	proceedings-article
30	10.1145/2384616.2384655	2012	10.1145/2384616.2384655	Higher-order symbolic execution via contracts	Proceedings of the ACM international conference on Object oriented programming systems languages and applications	proceedings-article
31	10.1145/1863543.1863553	2010	10.1145/1863543.1863553	Abstracting abstract machines	Proceedings of the 15th ACM SIGPLAN international conference on Functional programming	proceedings-article
32	10.1145/2429069.2429121	2013	10.1145/2429069.2429121	HALO	Proceedings of the 40th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
33	10.1145/1040305.1040334	2005	10.1145/1040305.1040334	Scalable error detection using boolean satisfiability	Proceedings of the 32nd ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
34	10.1145/2103746.2103767	2012	10.1145/2103746.2103767	Hybrid contract checking via symbolic simplification	Proceedings of the ACM SIGPLAN 2012 workshop on Partial evaluation and program manipulation	proceedings-article
35	10.1145/1480881.1480889	2009	10.1145/1480881.1480889	Static contract checking for Haskell	Proceedings of the 36th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages	proceedings-article
36	e_1_3_2_1_36_1	2004		Using model checking to find serious file system errors	Sixth Symposium on Operating Systems Design and Implementation	reference
37	10.1007/978-3-642-35873-9_19	2013	10.1007/978-3-642-35873-9_19	Compositional and Lightweight Dependent Type Inference for ML	Lecture Notes in Computer Science	book-chapter
