rank	source_id	year	doi	title	venue	type
1	e_1_3_1_2_2	2020		An SMT-based approach for verifying binarized neural networks	CoRR	reference
2	10.1145/3314221.3314614	2019	10.1145/3314221.3314614	Optimization and abstraction: a synergistic approach for analyzing neural network robustness	Proceedings of the 40th ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
3	10.1016/0890-5401(87)90052-6	1987	10.1016/0890-5401(87)90052-6	Learning regular sets from queries and counterexamples	Information and Computation	journal-article
4	10.1007/978-3-030-59152-6_5	2020	10.1007/978-3-030-59152-6_5	DeepAbstract: Neural Network Abstraction for Accelerating Verification	Lecture Notes in Computer Science	book-chapter
5	10.1371/journal.pone.0130140	2015	10.1371/journal.pone.0130140	On Pixel-Wise Explanations for Non-Linear Classifier Decisions by Layer-Wise Relevance Propagation	PLOS ONE	journal-article
6	e_1_3_1_7_2			Baidu. 2021. Apollo. https://apollo.auto.		reference
7	10.1109/ICSE43902.2021.00039	2021	10.1109/ICSE43902.2021.00039	Scalable Quantitative Verification for Deep Neural Networks	2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	proceedings-article
8	10.1145/3319535.3354245	2019	10.1145/3319535.3354245	Quantitative Verification of Neural Networks and Its Security Applications	Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security	proceedings-article
9	10.1007/978-3-030-51074-9_2	2020	10.1007/978-3-030-51074-9_2	An SMT Theory of Fixed-Point Arithmetic	Lecture Notes in Computer Science	book-chapter
10	10.1007/3-540-36577-X_28	2003	10.1007/3-540-36577-X_28	Construction of Efficient BDDs for Bounded Arithmetic Constraints	Lecture Notes in Computer Science	book-chapter
11	10.5555/1717251		10.5555/1717251			reference
12	10.1109/TC.1986.1676819	1986	10.1109/TC.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	journal-article
13	10.1145/136035.136043	1992	10.1145/136035.136043	Symbolic Boolean manipulation with ordered binary-decision diagrams	ACM Computing Surveys	journal-article
14	10.1109/TDSC.2021.3088661	2022	10.1109/TDSC.2021.3088661	Taking Care of the Discretization Problem: A Comprehensive Study of the Discretization Problem and a Black-Box Adversarial Attack in Discrete Integer Domain	IEEE Transactions on Dependable and Secure Computing	journal-article
15	e_1_3_1_16_2	2020		Branch and bound for piecewise linear neural network verification	J. Mach. Learn. Res.	reference
16	10.1109/SP.2017.49	2017	10.1109/SP.2017.49	Towards Evaluating the Robustness of Neural Networks	2017 IEEE Symposium on Security and Privacy (SP)	proceedings-article
17	10.1109/SP40001.2021.00004	2021	10.1109/SP40001.2021.00004	Who is Real Bob? Adversarial Attacks on Speaker Recognition Systems	2021 IEEE Symposium on Security and Privacy (SP)	proceedings-article
18	e_1_3_1_19_2	2021		SEC4SR: A security analysis platform for speaker recognition	CoRR	reference
19	10.1109/TDSC.2022.3189397	2024	10.1109/TDSC.2022.3189397	AS2T: Arbitrary Source-To-Target Adversarial Attack on Speaker Recognition Systems	IEEE Transactions on Dependable and Secure Computing	journal-article
20	10.1007/978-3-030-03592-1_16	2018	10.1007/978-3-030-03592-1_16	Verification of Binarized Neural Networks via Inter-neuron Factoring	Lecture Notes in Computer Science	book-chapter
21	10.1007/978-3-319-68167-2_18	2017	10.1007/978-3-319-68167-2_18	Maximum Resilience of Artificial Neural Networks	Lecture Notes in Computer Science	book-chapter
22	e_1_3_1_23_2			Piotr Dabkowski and Yarin Gal. 2017. Real Time Image Saliency for Black Box Classifiers (NIPS’17). 6970–6979.		reference
